repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
OpenHands/OpenHands,64551,2024-03-13,79419,50k–100k,706,79419,0.9498,0.7832,0.2404,0.771,235
sgl-project/sglang,19466,2024-01-08,240273,200k–250k,795,240273,0.7205,0.3978,0.0865,0.3674,470
Skyvern-AI/skyvern,15379,2024-02-28,82460,50k–100k,584,82460,0.9997,0.9663,0.8785,0.9659,773
emcie-co/parlant,15129,2024-02-15,56965,50k–100k,154,56965,1.0,0.9882,0.6635,0.9882,266
volcengine/verl,14882,2024-10-31,66590,50k–100k,397,66590,0.5122,0.3051,0.054,0.2163,259
QwenLM/Qwen3-Coder,14143,2024-04-16,74605,50k–100k,501,74605,0.4529,0.3945,0.0549,0.3339,196
lllyasviel/stable-diffusion-webui-forge,11740,2024-01-14,170648,150k–200k,1089,170648,0.2283,0.1031,0.0188,0.0899,172
llamastack/llama-stack,8132,2024-06-25,60033,50k–100k,595,60033,0.8756,0.7166,0.3188,0.6848,710
OpenSPG/KAG,8109,2024-09-21,72764,50k–100k,610,72764,0.3284,0.1463,0.0361,0.1002,46
Upsonic/Upsonic,7663,2024-05-26,54000,50k–100k,248,54000,0.9167,0.8118,0.2395,0.7515,604
lastmile-ai/mcp-agent,7640,2024-12-18,51790,50k–100k,282,51790,0.9,0.7282,0.2,0.6864,346
SciPhi-AI/R2R,7401,2024-02-12,52894,50k–100k,231,52894,0.8601,0.7165,0.2561,0.5827,402
crestalnetwork/intentkit,6449,2024-12-09,50253,50k–100k,419,50253,0.8948,0.821,0.4787,0.6761,254
X-PLUG/MobileAgent,6138,2024-01-26,82659,50k–100k,484,82659,0.4727,0.3349,0.0342,0.2819,240
Zipstack/unstract,5906,2024-02-21,111631,100k–150k,1125,111631,0.8435,0.8128,0.1789,0.7896,2190
OneDragon-Anything/ZenlessZoneZero-OneDragon,5407,2024-06-07,71988,50k–100k,706,71988,0.8448,0.6355,0.2269,0.6245,201
facebookresearch/sapiens,5186,2024-08-13,392191,350k–400k,3337,392191,0.5587,0.4642,0.0064,0.3943,194
yisol/IDM-VTON,4741,2024-03-20,92208,50k–100k,522,92208,0.3666,0.1619,0.0082,0.1512,227
Kiln-AI/Kiln,4355,2024-07-23,77039,50k–100k,273,77039,0.2727,0.2335,0.1083,0.2242,78
airweave-ai/airweave,4283,2024-12-24,96117,50k–100k,627,96117,0.9513,0.7789,0.3454,0.7557,1029
leminlimez/Nugget,3982,2024-09-02,358384,350k–400k,78,358384,0.8765,0.2666,0.1396,0.2517,0
ag2ai/ag2,3717,2024-11-11,55591,50k–100k,417,55591,0.9358,0.8435,0.2035,0.8198,1726
hustvl/Vim,3639,2024-01-15,59575,50k–100k,482,59575,0.2808,0.1684,0.0128,0.1549,149
NVlabs/VILA,3620,2024-02-23,57004,50k–100k,334,57004,0.3446,0.2304,0.0325,0.1711,128
MrForExample/ComfyUI-3D-Pack,3452,2024-01-05,136584,100k–150k,806,136584,0.3872,0.2235,0.0388,0.1793,198
huggingface/smollm,3346,2024-11-04,74064,50k–100k,428,74064,0.2284,0.1389,0.2531,0.1103,46
TracecatHQ/tracecat,3307,2024-02-27,60256,50k–100k,449,60256,0.9794,0.8876,0.4871,0.8769,790
EvolvingLMMs-Lab/lmms-eval,3237,2024-03-07,79533,50k–100k,516,79533,0.2547,0.1746,0.009,0.1009,88
MzeroMiko/VMamba,2862,2024-01-11,86200,50k–100k,1318,86200,0.0897,0.0297,0.0018,0.0215,9
NVIDIA/nv-ingest,2755,2024-08-22,53094,50k–100k,497,53094,0.538,0.2884,0.1524,0.2625,481
wyf3/llm_related,2401,2024-08-04,55277,50k–100k,354,55277,0.4459,0.2636,0.0297,0.1835,133
darkmatter2048/WindowsCleaner,2273,2024-02-19,72005,50k–100k,18,72005,0.0189,0.0,0.0,0.0,0
bilibili/Index-anisora,2170,2024-12-16,339180,300k–350k,1704,339180,0.2161,0.1128,0.0073,0.0855,385
ogkalu2/comic-translate,2078,2024-01-25,91210,50k–100k,222,91210,0.4131,0.1724,0.0221,0.1429,16
huggingface/lighteval,2043,2024-01-26,51612,50k–100k,274,51612,0.6012,0.2465,0.0954,0.2175,10
TencentARC/BrushNet,1671,2024-03-10,163505,150k–200k,459,163505,0.5493,0.1592,0.0233,0.1344,157
franciszzj/Leffa,1621,2024-12-05,89991,50k–100k,524,89991,0.3668,0.1654,0.0087,0.1538,225
RoboTwin-Platform/RoboTwin,1597,2024-09-18,80766,50k–100k,582,80766,0.3803,0.2873,0.0681,0.2515,229
menyifang/MIMO,1554,2024-09-24,190575,150k–200k,1235,190575,0.3304,0.2308,0.0054,0.1861,90
