repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
aigc-apps/VideoX-Fun,1501,2024-09-10,95144,50k–100k,197,95144,0.2555,0.0818,0.0027,0.0627,42
NVIDIA/TensorRT-Model-Optimizer,1483,2024-04-23,51561,50k–100k,272,51561,0.6458,0.4885,0.0616,0.4545,230
lenML/Speech-AI-Forge,1353,2024-06-01,144652,100k–150k,926,144652,0.3686,0.2068,0.0474,0.1774,94
siyuanliii/masa,1346,2024-03-28,64904,50k–100k,1069,64904,0.5968,0.539,0.002,0.4719,17
lxtGH/OMG-Seg,1327,2024-01-05,136794,100k–150k,923,136794,0.3354,0.1444,0.0042,0.1169,8
zsyOAOA/InvSR,1286,2024-12-07,206416,200k–250k,532,206416,0.5569,0.1567,0.0204,0.1313,229
shallowdream204/DreamClear,1183,2024-10-24,98328,50k–100k,691,98328,0.0575,0.0161,0.0028,0.0119,2
allwefantasy/auto-coder,1181,2024-03-13,88079,50k–100k,433,88079,0.7715,0.5689,0.1223,0.5468,577
ictnlp/StreamSpeech,1178,2024-06-04,125386,100k–150k,664,125386,0.2418,0.1174,0.0724,0.0917,102
google/meridian,1164,2024-01-31,69314,50k–100k,68,69314,0.7089,0.2874,0.0417,0.2818,53
bilibili/Index-1.9B,1000,2024-06-11,95366,50k–100k,1856,95366,0.4674,0.2428,0.0051,0.1878,16
multimodal-art-projection/MAP-NEO,964,2024-05-08,62514,50k–100k,324,62514,0.0086,0.0151,0.0,0.0043,14
mayuelala/FollowYourClick,905,2024-03-13,60683,50k–100k,425,60683,0.512,0.254,0.0317,0.2252,25
marketcalls/openalgo,896,2024-02-19,107387,100k–150k,496,107387,0.3808,0.2839,0.0023,0.2589,447
NVlabs/DoRA,868,2024-04-11,59292,50k–100k,279,59292,0.2191,0.0442,0.0187,0.0259,13
OpenBMB/VisRAG,838,2024-10-14,85726,50k–100k,372,85726,0.2978,0.3178,0.0424,0.0991,118
SUC-DriverOld/MSST-WebUI,795,2024-07-22,118200,100k–150k,172,118200,0.4087,0.2094,0.0058,0.1928,34
fudan-generative-vision/dynamicPDB,770,2024-09-01,53962,50k–100k,222,53962,0.4745,0.2523,0.0152,0.2259,58
spyoungtech/FreeSimpleGUI,754,2024-04-03,96110,50k–100k,520,96110,0.0067,0.0007,0.0006,0.0007,0
MyNiuuu/MOFA-Video,754,2024-05-30,73210,50k–100k,525,73210,0.1222,0.0403,0.0104,0.0383,30
