repo,stars,created_at,loc_full,size_band,default_branch,files_scanned,loc_scanned,functions_total,params_total_excl_selfcls,params_annotated,ret_annotated,var_annotated,fully_annotated_functions,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total,var_z,leaderboard_score,any_scaled,typing_debt
yt-dlp/yt-dlp,132996,2020-10-26,204741,200k–250k,master,1126,204741,5690,9021,220,61,98,49,0.0244,0.0107,0.0031,0.0086,7,-0.3204399857968421,-0.04936299715936841,0.0,0.7358100000000001
PaddlePaddle/PaddleOCR,61742,2020-05-08,75714,50k–100k,main,408,75714,3454,9151,287,105,10,85,0.0314,0.0304,0.0005,0.0246,45,-0.3252738146034344,-0.04028476292068689,0.002108814846056517,0.7272772037115142
OpenBB-finance/OpenBB,53950,2020-12-20,145567,100k–150k,develop,1019,145567,3883,7509,5398,2356,6226,2181,0.7189,0.6067,0.4848,0.5617,1298,0.5751197588706676,0.6508739517741334,1.0,0.494485
coqui-ai/TTS,43190,2020-05-20,55478,50k–100k,dev,346,55478,2493,6374,1538,381,1297,298,0.2413,0.1528,0.1204,0.1195,9,-0.10235994002250352,0.14159301199549928,0.0,0.595575
deepspeedai/DeepSpeed,40534,2020-01-23,81996,50k–100k,master,698,81996,6135,10059,1819,883,767,776,0.1808,0.1439,0.0503,0.1265,86,-0.2326874013079352,0.08518751973841296,0.059749753971601316,0.6404074384929003
ManimCommunity/manim,35275,2020-05-19,58623,50k–100k,main,175,58623,2915,4879,4347,2448,631,2331,0.891,0.8398,0.095,0.7997,546,-0.14958272913305934,0.6649634541733881,0.7064529734289332,0.2737232433572333
tinygrad/tinygrad,30432,2020-10-18,239299,200k–250k,master,287,239299,7754,10828,3343,1037,898,774,0.3087,0.1337,0.012,0.0998,93,-0.30389341795889135,0.12493131640822172,0.06959088991986506,0.5883727224799663
PostHog/posthog,29839,2020-01-23,378020,350k–400k,master,3131,378020,14906,20299,15464,7972,12121,7319,0.7618,0.5348,0.2644,0.491,2096,0.16535980926568708,0.5630619618531374,1.0,0.49674999999999997
openai/openai-python,29093,2020-10-25,68468,50k–100k,main,980,68468,2162,6387,6387,2156,6058,2156,1.0,0.9972,2.5529,0.9972,146,2.0,1.19902,0.144102347813862,0.03686558695346551
airbytehq/airbyte,19901,2020-07-27,210314,200k–250k,master,2439,210314,11010,15304,9431,6177,3391,5564,0.6162,0.561,0.1137,0.5054,3113,-0.11481634502410683,0.4506767309951786,1.0,0.5544100000000001
speechbrain/speechbrain,10622,2020-04-28,158669,150k–200k,develop,602,158669,4550,11504,953,202,213,169,0.0828,0.0444,0.0084,0.0371,20,-0.3105864116910962,-0.00931728233821924,0.0,0.6994199999999999
EleutherAI/lm-evaluation-harness,10467,2020-08-28,60371,50k–100k,main,699,60371,3114,4579,1539,798,161,600,0.3361,0.2563,0.0161,0.1927,66,-0.2962708417638804,0.18169583164722392,0.031632222690847756,0.5297730556727119
voxel51/fiftyone,9982,2020-04-22,160141,150k–200k,develop,340,160141,8409,14909,1267,505,502,475,0.085,0.0601,0.024,0.0565,59,-0.2815834388515422,0.002968312229691565,0.02179108674258401,0.699167771685646
3b1b/videos,9917,2020-12-31,411701,400k–450k,master,396,411701,15227,9299,172,24,69,17,0.0185,0.0016,0.001,0.0011,0,-0.3243442321406282,-0.05598384642812564,0.0,0.741195
open-mmlab/mmsegmentation,9337,2020-06-14,61346,50k–100k,main,1291,61346,1495,4051,1194,406,48,318,0.2947,0.2716,0.0041,0.2127,14,-0.31858082087122963,0.1639588358257541,0.0,0.535905
LmeSzinc/AzurLaneAutoScript,8390,2020-04-26,157882,150k–200k,master,1661,157882,6721,3788,268,385,403,301,0.0707,0.0573,0.0038,0.0448,8,-0.31913857034891335,-0.011957714069782674,0.0,0.700995
open-mmlab/mmpose,6991,2020-07-08,161700,150k–200k,main,959,161700,1885,5602,2672,652,90,598,0.477,0.3459,0.004,0.3172,16,-0.31876673736379085,0.2719616525272418,0.0,0.43157999999999996
