repo,stars,created_at,loc_full,size_band,default_branch,files_scanned,loc_scanned,functions_total,params_total_excl_selfcls,params_annotated,ret_annotated,var_annotated,fully_annotated_functions,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total,var_z,leaderboard_score,any_scaled,typing_debt
deepspeedai/DeepSpeedExamples,6701,2020-01-29,54558,50k–100k,master,203,54558,2677,5531,545,159,96,123,0.0985,0.0594,0.009,0.0459,27,-0.3094709127357287,0.003220817452854269,0.0,0.687855
adap/flower,6358,2020-02-17,99028,50k–100k,main,904,99028,4880,8583,6177,3784,1041,3689,0.7197,0.7754,0.0713,0.7559,280,-0.19364493787007403,0.5565260124259852,0.33248980739491085,0.2766374518487277
open-mmlab/mmdetection3d,6072,2020-07-08,100209,100k–150k,main,692,100209,2348,7525,4634,1267,19,1075,0.6158,0.5396,0.001,0.4578,14,-0.3243442321406282,0.40110115357187437,0.0,0.31101
PaddlePaddle/PaddleX,5836,2020-03-11,121907,100k–150k,release/3.3,1089,121907,6088,10841,4352,1545,1173,1268,0.4014,0.2538,0.0611,0.2083,274,-0.21260842011132086,0.2269383159777358,0.3240545480106848,0.5742436370026711
PaddlePaddle/PaddleClas,5747,2020-03-30,56680,50k–100k,release/2.6,313,56680,2993,8082,323,42,1,38,0.04,0.014,0.0001,0.0127,6,-0.32601748057367935,-0.04230349611473587,0.0,0.7278
mandiant/capa,5616,2020-06-16,58546,50k–100k,master,173,58546,1690,2289,1567,836,1228,734,0.6846,0.4947,0.3658,0.4343,48,0.3538791327227879,0.5519908265445576,0.006326444538169551,0.29510161113454236
zenml-io/zenml,4968,2020-11-19,202105,200k–250k,main,1218,202105,6917,9250,9210,6833,4346,6829,0.9957,0.9879,0.3057,0.9873,1704,0.24214332069348063,0.8422586641386962,1.0,0.255565
open-mmlab/mmaction2,4791,2020-07-11,65393,50k–100k,main,603,65393,1672,4186,1944,626,24,506,0.4644,0.3744,0.0019,0.3026,10,-0.32267098370757696,0.2754858032584846,0.0,0.4287
FedML-AI/FedML,3958,2020-07-21,93233,50k–100k,master,919,93233,5598,11309,1311,496,379,380,0.1159,0.0886,0.0196,0.0679,183,-0.28976376452423686,0.025212247095152615,0.19611978068325608,0.720294945170814
open-mmlab/mmpretrain,3755,2020-07-09,99506,50k–100k,main,1368,99506,2657,7555,2923,684,53,557,0.3869,0.2574,0.0035,0.2096,12,-0.3196963198265971,0.2002557360346806,0.0,0.498675
lightly-ai/lightly,3597,2020-10-13,65308,50k–100k,master,495,65308,2663,5151,4335,1920,1178,1622,0.8416,0.721,0.2004,0.6091,102,0.04637325402649123,0.6403446508052982,0.08224377899620416,0.17554094474905105
borb-pdf/borb,3536,2020-11-07,69872,50k–100k,master,380,69872,1243,3448,3408,1018,1707,992,0.9884,0.819,0.2825,0.7981,74,0.19901069441927205,0.7712321388838544,0.04287923520314918,0.07023980880078734
zhzyker/vulmap,3499,2020-10-09,109360,100k–150k,main,423,109360,5859,7161,54,25,13,23,0.0075,0.0043,0.0011,0.0039,4,-0.32415831564806696,-0.0599516631296134,0.0,0.7453350000000001
beartype/beartype,3220,2020-04-03,85093,50k–100k,main,855,85093,2024,2231,1898,1908,471,1724,0.8507,0.9427,0.142,0.8518,73,-0.06220197762927495,0.7003196044741451,0.0414733586391115,0.09474333965977788
baserow/baserow,3099,2020-07-20,217111,200k–250k,develop,2011,217111,9020,17654,9374,3527,1963,2875,0.531,0.391,0.0842,0.3187,1004,-0.16966171032967364,0.3418676579340653,1.0,0.64375
blackjack4494/yt-dlc,3002,2020-10-24,125409,100k–150k,master,845,125409,3056,4348,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
binance/binance-connector-python,2573,2020-04-20,241548,200k–250k,master,1995,241548,11767,10784,10593,11643,14181,11554,0.9823,0.9895,1.737,0.9819,4646,2.0,1.1883599999999999,1.0,0.261115
intel/neural-compressor,2520,2020-07-21,229498,200k–250k,master,593,229498,6066,10990,1176,420,153,325,0.107,0.0692,0.0062,0.0536,95,-0.31467657452744346,0.0094346850945113,0.07240264304794042,0.6991906607619851
quic/aimet,2474,2020-04-21,87147,50k–100k,develop,419,87147,4045,7549,5415,1323,288,1160,0.7173,0.3271,0.0236,0.2868,113,-0.28232710482178713,0.38080457903564263,0.09770842120061862,0.35351210530015464
dirkjanm/ROADtools,2438,2020-03-28,70635,50k–100k,master,43,70635,494,851,8,5,0,5,0.0094,0.0101,0.0,0.0101,0,-0.3262033970662406,-0.05747567941324811,0.0,0.74274
Lightning-AI/torchmetrics,2348,2020-12-22,62902,50k–100k,master,356,62902,2055,5895,5895,2054,1396,2054,1.0,0.9995,0.2499,0.9995,446,0.13840191784430675,0.8275053835688614,0.5658653170251654,0.14161632925629133
microsoft/debugpy,2251,2020-01-15,116179,100k–150k,main,542,116179,7275,10156,79,41,103,29,0.0078,0.0056,0.0045,0.004,6,-0.31783715490098463,-0.05809743098019693,0.0,0.74481
alibaba/EasyRec,2165,2020-12-08,52108,50k–100k,master,238,52108,2150,4809,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
someengineering/fixinventory,2042,2020-04-14,127686,100k–150k,main,327,127686,5509,7849,7674,5292,28215,5258,0.9777,0.9606,3.4358,0.9544,1642,2.0,1.1761750000000002,1.0,0.271855
intel/intel-extension-for-pytorch,1984,2020-04-15,53618,50k–100k,main,183,53618,1726,5141,2358,373,138,307,0.4587,0.2161,0.0148,0.1779,71,-0.2986877561671766,0.2223124487665647,0.038661605511036146,0.488420401377759
microsoft/Cream,1808,2020-10-12,84355,50k–100k,main,735,84355,4418,11155,487,65,32,52,0.0437,0.0147,0.0017,0.0118,2,-0.32304281669269946,-0.0397985633385399,0.0,0.7259249999999999
PaddlePaddle/Research,1749,2020-02-13,172457,150k–200k,master,1188,172457,7468,19085,84,53,5,35,0.0044,0.0071,0.0001,0.0047,6,-0.32601748057367935,-0.060738496114735877,0.0,0.7458899999999999
PaddlePaddle/PaddleVideo,1654,2020-11-12,67045,50k–100k,develop,540,67045,3225,7547,251,72,0,69,0.0333,0.0223,0.0,0.0214,4,-0.3262033970662406,-0.04245067941324811,0.0,0.728325
mampfes/hacs_waste_collection_schedule,1629,2020-04-09,68349,50k–100k,master,647,68349,2244,2454,1369,618,1048,574,0.5579,0.2754,0.075,0.2558,50,-0.18676602764530803,0.3100917944709383,0.009138197666244907,0.41860954941656126
HonglinChu/SiamTrackers,1544,2020-04-07,94975,50k–100k,master,1125,94975,4592,9172,267,144,0,125,0.0291,0.0314,0.0,0.0272,1,-0.3262033970662406,-0.04115567941324812,0.0,0.7274849999999999
google/uncertainty-baselines,1542,2020-07-16,127309,100k–150k,main,691,127309,3978,9501,3744,838,659,767,0.3941,0.2107,0.0252,0.1928,258,-0.27935244094080725,0.19521951181183853,0.30156052298608194,0.5848351307465204
WenmuZhou/PytorchOCR,1495,2020-05-14,63082,50k–100k,dev,416,63082,3508,8694,9,0,0,0,0.001,0.0,0.0,0.0,0,-0.3262033970662406,-0.0647906794132481,0.0,0.7495499999999999
Arthur151/ROMP,1459,2020-08-21,65961,50k–100k,master,423,65961,3687,8098,41,40,85,21,0.0051,0.0108,0.0038,0.0057,0,-0.31913857034891335,-0.057752714069782676,0.0,0.7444649999999999
jython/jython,1448,2020-07-25,299311,250k–300k,master,1186,299311,5077,6251,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
xuan32546/IOS13-SimulateTouch,1378,2020-07-19,245470,200k–250k,master,769,245470,15967,20505,28,44,0,41,0.0014,0.0028,0.0,0.0026,1,-0.3262033970662406,-0.06363067941324811,0.0,0.74853
DLLXW/data-science-competition,1372,2020-10-15,73825,50k–100k,main,657,73825,3451,7781,442,62,16,36,0.0568,0.018,0.0007,0.0104,0,-0.3249019816183119,-0.033120396323662385,0.0,0.71904
starkware-libs/cairo-lang,1366,2020-10-31,75094,50k–100k,master,533,75094,4671,6468,5275,2284,1746,2139,0.8156,0.489,0.233,0.4579,201,0.10698203060145663,0.5595664061202914,0.2214255588359343,0.29163638970898353
mylar3/mylar3,1296,2020-01-13,66160,50k–100k,master,176,66160,2019,3384,0,0,1,0,0.0,0.0,0.0001,0.0,0,-0.32601748057367935,-0.06520349611473587,0.0,0.75
yangxue0827/RotationDetection,1107,2020-10-26,59840,50k–100k,main,798,59840,1559,3865,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
fudan-zvg/SETR,1096,2020-12-30,109917,100k–150k,main,1566,109917,2844,8966,9,0,2,0,0.001,0.0,0.0001,0.0,0,-0.32601748057367935,-0.06475349611473587,0.0,0.7495499999999999
openvinotoolkit/nncf,1094,2020-05-13,94005,50k–100k,develop,694,94005,6429,10396,8952,4603,798,4476,0.8611,0.716,0.0507,0.6962,778,-0.2319437353376902,0.5917062529324619,1.0,0.39770500000000003
PaddlePaddle/PaddleHelix,1087,2020-11-21,102575,100k–150k,dev,651,102575,4950,10317,1471,445,175,407,0.1426,0.0899,0.0068,0.0822,49,-0.313561075572076,0.0329227848855848,0.007732321102207229,0.6607930802755518
lhotse-speech/lhotse,1075,2020-04-24,61353,50k–100k,master,362,61353,2553,4929,4394,1765,494,1677,0.8915,0.6913,0.0634,0.6569,147,-0.20833234078241228,0.6014635318435175,0.14550822437789968,0.17781205609447492
react-native-skia/react-native-skia,1059,2020-09-04,212113,200k–250k,main,1496,212113,12506,13602,1240,944,255,914,0.0912,0.0755,0.0079,0.0731,42,-0.3115159941539024,0.005161801169219514,0.0,0.68631
keras-team/keras-cv,1050,2020-05-18,66631,50k–100k,master,550,66631,2983,5053,106,30,12,21,0.021,0.0101,0.0011,0.007,2,-0.32415831564806696,-0.051846663129613405,0.0,0.73752
ethereum/execution-specs,1024,2020-08-11,167288,150k–200k,forks/osaka,1062,167288,5709,8571,8566,5629,4427,5628,0.9994,0.986,0.2318,0.9858,522,0.10475103269072168,0.8157802065381443,0.6727119358920289,0.17264798397300726
jonrau1/ElectricEye,1021,2020-02-07,161670,150k–200k,master,181,161670,1258,5907,3493,648,50,87,0.5913,0.5151,0.0037,0.0692,0,-0.3193244868414746,0.3825051026317051,0.0,0.329385
ansible-collections/community.general,987,2020-02-03,203712,200k–250k,main,827,203712,6450,9751,63,34,11,29,0.0065,0.0053,0.0004,0.0045,16,-0.32545973109599563,-0.06031194621919913,0.0,0.7454850000000001
keras-team/keras-hub,944,2020-05-28,133282,100k–150k,master,1000,133282,4692,8062,44,6,0,0,0.0055,0.0013,0.0,0.0,2,-0.3262033970662406,-0.06231067941324811,0.0,0.747135
huawei-noah/noah-research,899,2020-06-17,136809,100k–150k,master,967,136809,7177,14686,1688,374,818,301,0.1149,0.0521,0.0286,0.0419,105,-0.273031280193725,0.015333743961254996,0.0864614086883172,0.7042803521720793
hikari-py/hikari,889,2020-08-15,61148,50k–100k,master,127,61148,3168,4676,4676,3166,2732,3166,1.0,0.9994,0.8498,0.9994,230,1.253714956719206,1.0505329913438413,0.26219597919302695,0.06572899479825675
scastillo/not-youtube-dl,878,2020-10-24,120645,100k–150k,master,819,120645,2935,4164,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
huawei-noah/vega,852,2020-06-20,66061,50k–100k,master,850,66061,4930,8544,644,366,24,336,0.0754,0.0742,0.0019,0.0682,103,-0.32267098370757696,-0.004634196741515391,0.08364965556024184,0.7147224138900605
RareDevs/Rare,797,2020-11-06,65624,50k–100k,main,223,65624,1675,1793,1312,616,634,583,0.7317,0.3678,0.2676,0.3481,69,0.17130913702764683,0.4922568274055294,0.03584985238296079,0.3193574630957402
Wanderson-Magalhaes/Simple_PySide_Base,777,2020-05-09,57815,50k–100k,master,7,57815,29,29,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3262033970662406,-0.06524067941324811,0.0,0.75
