repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
prowler-cloud/prowler,12235,2016-08-24,124490,3183,124490,0.4257,0.3314,0.325,0.3159,89
jopohl/urh,11909,2016-04-01,124050,298,124050,0.4132,0.0927,0.0,0.0741,0
Miserlou/Zappa,11871,2016-01-20,6480,15,6480,0.0,0.0,0.0,0.0,0
dbt-labs/dbt-core,11763,2016-03-10,37178,219,37178,0.6473,0.6619,0.3924,0.5781,550
Manisso/fsociety,11600,2016-09-01,1744,1,1744,0.0,0.0,0.0,0.0,0
LonamiWebs/Telethon,11454,2016-08-26,22304,130,22304,0.2414,0.0589,0.0004,0.052,1
aws/chalice,10953,2016-05-27,14575,50,14575,0.6033,0.5576,0.1817,0.5576,338
instaloader/instaloader,10947,2016-06-15,5131,12,5131,0.8349,0.6969,0.1086,0.671,49
streamlink/streamlink,10929,2016-09-16,46070,265,46070,0.7065,0.5985,0.5598,0.5681,110
rushter/MLAlgorithms,10916,2016-10-05,2836,47,2836,0.0,0.0,0.0,0.0,0
cupy/cupy,10568,2016-11-01,95291,366,95291,0.0844,0.1381,0.0099,0.1298,60
tflearn/tflearn,9617,2016-03-31,10621,52,10621,0.0,0.0,0.0,0.0,0
aws/serverless-application-model,9512,2016-10-10,26684,268,26684,0.4875,0.5073,0.3755,0.4935,597
yutiansut/QUANTAXIS,9388,2016-03-29,51332,183,51332,0.071,0.0458,0.0006,0.0352,0
dataabc/weiboSpider,9251,2016-03-25,1911,35,1911,0.0,0.0,0.0,0.0,0
httpie/http-prompt,9075,2016-04-06,1508,17,1508,0.0,0.0,0.0,0.0,0
icloud-photos-downloader/icloud_photos_downloader,9044,2016-05-13,7567,56,7567,0.9803,0.9469,0.2943,0.9469,80
pytorch/tutorials,8858,2016-09-30,17644,150,17644,0.0767,0.0693,0.0015,0.0594,5
saulpw/visidata,8524,2016-10-27,27617,250,27617,0.0361,0.02,0.0019,0.0078,1
intel/ipex-llm,8415,2016-08-29,77219,240,77219,0.6205,0.3466,0.0596,0.2723,133
jd/tenacity,7990,2016-08-11,1421,13,1421,1.0,0.9873,0.1402,0.9873,50
donnemartin/gitsome,7652,2016-04-23,48985,189,48985,0.0,0.0009,0.0,0.0003,0
MagicStack/asyncpg,7639,2016-07-19,7962,26,7962,0.1213,0.1659,0.0316,0.1469,8
wiseodd/generative-models,7466,2016-12-07,4678,50,4678,0.0,0.0,0.0,0.0,0
kubernetes-client/python,7385,2016-10-31,236173,838,236173,0.0001,0.0002,0.0001,0.0001,0
timercrack/trader,7378,2016-07-21,4172,15,4172,0.6951,0.1031,0.0006,0.1031,0
tensorlayer/TensorLayer,7371,2016-06-07,25099,112,25099,0.0,0.0,0.0,0.0,0
fchollet/deep-learning-models,7353,2016-08-03,2209,10,2209,0.0,0.0,0.0,0.0,0
Urinx/WeixinBot,7340,2016-01-31,3889,17,3889,0.0335,0.0123,0.0,0.0123,0
luyishisi/Anti-Anti-Spider,7301,2016-11-14,11503,193,11503,0.0,0.0,0.0,0.0,0
liangliangyy/DjangoBlog,7198,2016-11-02,7734,134,7734,0.0275,0.0113,0.0,0.0113,0
agronholm/apscheduler,7059,2016-03-27,7101,45,7101,0.9818,0.9523,0.6444,0.9427,131
persepolisdm/persepolis,7016,2016-07-15,48579,59,48579,0.0043,0.0,0.0,0.0,0
Mailu/Mailu,6868,2016-01-10,8415,102,8415,0.0018,0.0,0.0,0.0,0
Rockyzsu/stock,6846,2016-04-04,12991,151,12991,0.0058,0.0106,0.0,0.0075,0
NicolasHug/Surprise,6704,2016-10-23,2736,20,2736,0.0,0.0,0.0,0.0,0
python-pendulum/pendulum,6566,2016-06-27,11757,119,11757,1.0,1.0,0.0804,1.0,24
piku/piku,6501,2016-03-26,2703,3,2703,0.0,0.0,0.0,0.0,0
thtrieu/darkflow,6154,2016-08-16,2554,39,2554,0.0,0.0,0.0,0.0,0
chyroc/WechatSogou,6136,2016-05-09,1490,11,1490,0.0,0.0,0.0,0.0,0
lcdevelop/ChatBotCourse,6002,2016-06-23,12599,68,12599,0.0,0.0,0.0,0.0,0
ricequant/rqalpha,5941,2016-07-20,16864,125,16864,0.0936,0.0382,0.0148,0.0337,4
snorkel-team/snorkel,5923,2016-02-26,6477,85,6477,1.0,0.9958,0.2857,0.9958,35
cloud-custodian/cloud-custodian,5834,2016-03-01,126849,781,126849,0.0047,0.0036,0.0011,0.002,0
WenDesi/lihang_book_algorithm,5823,2016-07-16,1648,17,1648,0.0,0.0,0.0,0.0,0
keras-rl/keras-rl,5557,2016-07-02,2926,27,2926,0.0,0.0,0.0,0.0,0
airbnb/knowledge-repo,5533,2016-08-17,8759,108,8759,0.0,0.0,0.0,0.0,0
ibab/tensorflow-wavenet,5433,2016-09-12,1262,6,1262,0.0,0.0,0.0,0.0,0
ethereum/web3.py,5412,2016-04-14,33682,169,33682,0.9948,0.9835,0.2228,0.9829,855
libratbag/piper,5399,2016-03-04,2986,22,2986,0.6096,0.6,0.2222,0.517,1
liuwons/wxBot,5351,2016-02-12,1469,4,1469,0.0,0.0,0.0,0.0,0
Cog-Creators/Red-DiscordBot,5313,2016-01-02,62966,199,62966,0.8282,0.462,0.0763,0.4354,105
qiyuangong/leetcode,5303,2016-03-17,7124,379,7124,0.0631,0.0586,0.0,0.0586,0
gboeing/osmnx,5286,2016-07-24,7524,24,7524,1.0,1.0,0.063,1.0,75
moranzcw/Computer-Networking-A-Top-Down-Approach-NOTES,5162,2016-04-11,1056,32,1056,0.0,0.0,0.0,0.0,0
careercup/CtCI-6th-Edition-Python,5158,2016-02-12,5137,87,5137,0.0998,0.0863,0.0022,0.0796,0
mdbloice/Augmentor,5136,2016-03-01,3436,6,3436,0.0,0.0,0.0,0.0,0
Netflix/vmaf,5132,2016-02-08,26624,86,26624,0.0442,0.0179,0.0017,0.0167,2
vyperlang/vyper,5121,2016-11-11,26128,144,26128,0.4679,0.3562,0.1043,0.3265,48
SpiderClub/weibospider,4814,2016-06-27,3655,77,3655,0.0066,0.0,0.0,0.0,0
listen1/listen1,4773,2016-04-22,2257,30,2257,0.0,0.0,0.0,0.0,0
lk-geimfari/mimesis,4626,2016-09-09,49743,55,49743,1.0,1.0,0.0919,1.0,83
NewFuture/DDNS,4588,2016-06-10,4113,39,4113,0.0113,0.0096,0.0,0.0096,0
okfn-brasil/serenata-de-amor,4548,2016-06-27,7695,146,7695,0.0,0.0,0.0,0.0,0
cirosantilli/linux-kernel-module-cheat,4403,2016-07-30,4283,35,4283,0.068,0.0064,0.0,0.0064,1
DistrictDataLabs/yellowbrick,4380,2016-05-18,20483,96,20483,0.0,0.0019,0.0,0.0,0
graphql-python/graphene-django,4377,2016-09-17,3116,47,3116,0.0,0.0,0.0,0.0,0
keylase/nvidia-patch,4301,2016-07-15,1999,14,1999,0.0,0.0,0.0,0.0,0
wookayin/gpustat,4275,2016-04-24,1752,10,1752,0.1159,0.2373,0.0314,0.2034,5
qiyeboy/IPProxyPool,4240,2016-07-21,1162,21,1162,0.0,0.0,0.0,0.0,0
neozhaoliang/pywonderland,4233,2016-11-08,11344,97,11344,0.0297,0.0061,0.0009,0.0061,0
RUB-NDS/PRET,4160,2016-06-24,4389,14,4389,0.0,0.0,0.0,0.0,0
AceLewis/my_first_calculator.py,4157,2016-05-06,20866,3,20866,0.0,0.0,0.0,0.0,0
automatic-ripping-machine/automatic-ripping-machine,4152,2016-07-26,8434,77,8434,0.0341,0.0339,0.0344,0.013,0
commaai/research,4126,2016-08-03,1817,13,1817,0.0,0.0,0.0,0.0,0
google-deepmind/learning-to-learn,4064,2016-12-06,1546,12,1546,0.0,0.0,0.0,0.0,0
epinna/tplmap,4054,2016-07-06,2789,45,2789,0.0,0.0,0.0,0.0,0
bigchaindb/bigchaindb,4044,2016-02-08,5747,68,5747,0.0,0.0,0.0,0.0,0
Jack-Lee-Hiter/AlgorithmsByPython,4039,2016-06-27,6310,151,6310,0.0,0.0,0.0,0.0,0
junyanz/iGAN,4005,2016-09-21,3452,42,3452,0.0,0.0,0.0,0.0,0
electricitymaps/electricitymaps-contrib,3908,2016-05-21,28645,176,28645,0.8877,0.7203,0.0622,0.6644,203
PokemonGoF/PokemonGo-Bot,3904,2016-07-20,15992,89,15992,0.0,0.0,0.0,0.0,0
tox-dev/tox,3851,2016-09-17,10621,113,10621,1.0,1.0,0.2415,1.0,139
mandiant/flare-floss,3751,2016-03-02,5512,41,5512,0.3253,0.4008,0.1003,0.2672,4
benfred/implicit,3723,2016-04-17,3028,28,3028,0.0,0.0207,0.0,0.0138,0
ysrc/xunfeng,3586,2016-12-19,4726,76,4726,0.0,0.0,0.0,0.0,0
skorokithakis/catt,3557,2016-04-24,2267,11,2267,0.3563,0.3032,0.0163,0.2713,3
LandGrey/pydictor,3537,2016-08-17,3945,70,3945,0.0,0.0,0.0,0.0,0
chrissimpkins/Crunch,3423,2016-04-10,1175,7,1175,0.0,0.0,0.0,0.0,0
OpenDroneMap/WebODM,3416,2016-08-08,12689,219,12689,0.0047,0.0,0.0,0.0,0
autorope/donkeycar,3315,2016-12-10,23397,136,23397,0.2165,0.1436,0.0168,0.1282,7
christabor/flask_jsondash,3293,2016-02-18,2299,21,2299,0.0,0.0,0.0,0.0,0
LiuXingMing/SinaSpider,3279,2016-03-15,2450,46,2450,0.0,0.0,0.0,0.0,0
bowenpay/wechat-spider,3271,2016-07-22,2128,36,2128,0.0,0.0,0.0,0.0,0
oils-for-unix/oils,3222,2016-11-15,403846,1735,403846,0.0319,0.0268,0.0018,0.0266,15
adrienverge/yamllint,3218,2016-01-11,3104,32,3104,0.0,0.0,0.0,0.0,0
decalage2/oletools,3210,2016-05-21,18970,48,18970,0.0,0.0,0.0,0.0,0
Fewbytes/rubber-docker,3136,2016-02-11,1005,13,1005,0.0,0.0,0.0,0.0,0
IntelRealSense/realsense-ros,3031,2016-02-23,2116,26,2116,0.0165,0.0,0.0,0.0,0
rll/rllab,3013,2016-04-21,34849,241,34849,0.0,0.0,0.0,0.0,0
raghakot/keras-vis,2995,2016-11-11,1219,19,1219,0.0,0.0,0.0,0.0,0
emeryberger/CSrankings,2973,2016-05-03,5286,34,5286,0.383,0.3353,0.0327,0.3176,1
rhsimplex/image-match,2970,2016-03-08,1144,6,1144,0.0,0.0,0.0,0.0,0
ehForwarderBot/ehForwarderBot,2957,2016-05-30,3296,18,3296,0.9076,0.2048,0.3244,0.2048,25
Conchylicultor/DeepQA,2922,2016-07-07,1815,30,1815,0.0,0.0,0.0,0.0,0
zzw922cn/Automatic_Speech_Recognition,2841,2016-11-13,2969,46,2969,0.0,0.0,0.0,0.0,0
RocketMap/RocketMap,2819,2016-08-04,8788,26,8788,0.0,0.0,0.0,0.0,0
DormyMo/SpiderKeeper,2768,2016-01-18,1321,17,1321,0.0,0.0,0.0,0.0,0
pypa/setuptools,2766,2016-03-29,58634,252,58634,0.522,0.5313,0.0821,0.4924,201
Netflix/bless,2755,2016-05-18,1543,36,1543,0.0,0.0,0.0,0.0,0
kayak/pypika,2738,2016-07-06,4867,17,4867,0.7672,0.8202,0.0261,0.7696,266
python-arq/arq,2702,2016-07-21,1784,12,1784,1.0,0.9545,0.3815,0.9545,34
calebmadrigal/trackerjacker,2691,2016-12-18,1978,26,1978,0.0,0.0,0.0,0.0,0
PythonOT/POT,2668,2016-10-20,38507,63,38507,0.002,0.0,0.0002,0.0,0
grantjenks/python-diskcache,2655,2016-02-03,4199,8,4199,0.0,0.0,0.0,0.0,0
korcankaraokcu/PINCE,2560,2016-02-19,14953,79,14953,0.1947,0.0823,0.0143,0.0714,0
pyqt/examples,2549,2016-10-13,94675,308,94675,0.0,0.0,0.0,0.0,0
NxRLab/ModernRobotics,2464,2016-10-04,1777,4,1777,0.0,0.0,0.0,0.0,0
mitogen-hq/mitogen,2440,2016-08-14,17999,87,17999,0.0,0.0,0.0,0.0,0
google/youtube-8m,2366,2016-12-20,3140,21,3140,0.0,0.0,0.0,0.0,0
dcos/dcos,2354,2016-04-13,25699,160,25699,0.3529,0.3247,0.0,0.3186,88
smallcorgi/Faster-RCNN_TF,2346,2016-09-07,7373,61,7373,0.0,0.0,0.0,0.0,0
fhamborg/news-please,2340,2016-12-18,5127,51,5127,0.1583,0.1151,0.0037,0.1151,3
openai/improved-gan,2331,2016-06-08,3110,20,3110,0.0,0.0,0.0,0.0,0
JasonKessler/scattertext,2320,2016-07-21,22517,333,22517,0.2124,0.1764,0.0046,0.1386,10
QianyanTech/Image-Downloader,2314,2016-07-17,1371,10,1371,0.0,0.0,0.0,0.0,0
mcordts/cityscapesScripts,2311,2016-02-20,6750,30,6750,0.0,0.0,0.0,0.0,0
Pyomo/pyomo,2307,2016-05-27,182699,685,182699,0.0398,0.0252,0.0058,0.02,14
CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,2306,2016-10-08,3861,37,3861,0.0,0.0,0.0,0.0,0
muammar/mkchromecast,2301,2016-03-19,4021,26,4021,0.6174,0.2574,0.3323,0.2525,3
chezou/tabula-py,2293,2016-09-10,1497,8,1497,0.9524,0.8788,0.1406,0.8485,9
dickreuter/Poker,2289,2016-03-29,10929,58,10929,0.0063,0.0,0.0,0.0,0
Taiko2k/Tauon,2257,2016-02-17,47307,30,47307,0.9399,0.9563,0.098,0.9127,2
WZBSocialScienceCenter/pdftabextract,2248,2016-07-08,1682,9,1682,0.0,0.0,0.0,0.0,0
agronholm/sqlacodegen,2233,2016-12-28,1584,6,1584,1.0,0.9419,0.3377,0.9419,24
chartbeat-labs/textacy,2231,2016-02-03,16236,94,16236,0.8096,0.7306,0.1042,0.6808,40
thu-ml/zhusuan,2224,2016-07-18,7337,27,7337,0.0,0.0,0.0,0.0,0
DerwenAI/pytextrank,2202,2016-10-02,2505,16,2505,0.745,0.6667,0.3253,0.6562,10
python-security/pyt,2199,2016-10-26,4181,39,4181,0.0,0.0,0.0,0.0,0
buckket/twtxt,2189,2016-01-31,1218,13,1218,0.0,0.0,0.0,0.0,0
SergeyPirogov/webdriver_manager,2179,2016-12-23,1246,32,1246,0.3631,0.1552,0.0,0.1293,0
nonebot/nonebot,2177,2016-12-02,4648,42,4648,0.8138,0.5451,0.2281,0.4765,20
moderngl/moderngl,2175,2016-03-03,2727,3,2727,0.0114,0.0024,0.0327,0.0024,1
qwj/python-proxy,2167,2016-06-30,2692,12,2692,0.0,0.0,0.0,0.0,0
paarthneekhara/text-to-image,2166,2016-08-16,2060,19,2060,0.0,0.0,0.0,0.0,0
RJT1990/pyflux,2137,2016-02-16,22669,78,22669,0.0,0.0,0.0,0.0,0
python-social-auth/social-app-django,2120,2016-09-24,1245,36,1245,0.0423,0.0562,0.0085,0.0337,1
ankush-me/SynthText,2116,2016-09-11,2212,12,2212,0.0,0.0,0.0,0.0,0
rougier/from-python-to-numpy,2103,2016-11-10,3101,44,3101,0.0,0.0,0.0,0.0,0
thunlp/THULAC-Python,2085,2016-05-17,1503,22,1503,0.0,0.0,0.0,0.0,0
ajbrock/Neural-Photo-Editor,2081,2016-09-21,2358,13,2358,0.0,0.0,0.0,0.0,0
mukulhase/WebWhatsapp-Wrapper,2079,2016-05-06,2530,22,2530,0.0,0.0,0.0,0.0,0
PyFilesystem/pyfilesystem2,2068,2016-10-14,11788,58,11788,0.0,0.0,0.0,0.0,0
Shougo/denite.nvim,2066,2016-02-15,5347,83,5347,0.9859,0.9832,0.097,0.9832,116
althonos/InstaLooter,2060,2016-11-21,1747,18,1747,0.0,0.0,0.0,0.0,0
line/line-bot-sdk-python,2054,2016-10-11,76488,485,76488,0.2552,0.4976,0.1418,0.3261,18
touilleMan/godot-python,2041,2016-09-25,2122,18,2122,0.1288,0.0957,0.1719,0.0957,0
mandiant/flare-fakenet-ng,2019,2016-06-27,6688,27,6688,0.0,0.0,0.0,0.0,0
jamiemcg/Remarkable,2007,2016-06-11,2550,26,2550,0.0,0.0,0.0,0.0,0
awolfly9/IPProxyTool,2001,2016-12-05,2336,51,2336,0.0,0.0,0.0,0.0,0
mvantellingen/python-zeep,1967,2016-02-14,8156,59,8156,0.1088,0.0919,0.008,0.0607,3
ansible-community/ara,1967,2016-06-08,6247,85,6247,0.0207,0.0,0.0,0.0,0
owocki/pytrader,1955,2016-03-26,2764,42,2764,0.0,0.0,0.0,0.0,0
Xyntax/POC-T,1953,2016-03-12,9444,122,9444,0.0,0.0,0.0,0.0,0
weaveworks/grafanalib,1941,2016-12-02,6247,16,6247,0.0101,0.0,0.0061,0.0,0
Cloud-CV/EvalAI,1938,2016-10-21,25910,296,25910,0.0,0.0,0.0,0.0,0
arsaboo/homeassistant-config,1934,2016-10-05,48535,179,48535,0.1476,0.1197,0.0141,0.1064,61
ozmartian/vidcutter,1929,2016-08-31,152922,30,152922,0.7527,0.6756,0.0,0.6644,0
cherrypy/cherrypy,1926,2016-04-30,13585,59,13585,0.009,0.0118,0.0,0.0118,0
cuemacro/findatapy,1925,2016-08-03,12180,60,12180,0.1602,0.0072,0.0,0.0072,0
johnwheeler/flask-ask,1914,2016-05-12,1293,7,1293,0.0,0.0,0.0,0.0,0
pyupio/safety,1913,2016-10-19,27319,146,27319,0.8564,0.7809,0.0915,0.7393,268
jakeret/tf_unet,1912,2016-08-12,1081,12,1081,0.0,0.0,0.0,0.0,0
pymedusa/Medusa,1899,2016-02-23,455905,2050,455905,0.1435,0.1501,0.0239,0.1464,850
pythonarcade/arcade,1896,2016-01-04,45913,219,45913,0.8075,0.6221,0.1047,0.5658,67
GPflow/GPflow,1888,2016-01-14,12991,101,12991,1.0,0.9676,0.0394,0.9676,67
tobegit3hub/tensorflow_template_application,1881,2016-07-18,3236,49,3236,0.0,0.0,0.0,0.0,0
ContextLab/hypertools,1873,2016-09-27,3964,28,3964,0.0,0.0,0.0,0.0,0
hanzhanggit/StackGAN,1863,2016-12-22,2717,18,2717,0.0,0.0,0.0,0.0,0
blacktwin/JBOPS,1855,2016-09-14,9324,65,9324,0.0,0.0,0.0,0.0,0
celery/django-celery-beat,1851,2016-08-03,4410,52,4410,0.0,0.0,0.0,0.0,0
danpaquin/coinbasepro-python,1851,2016-07-14,1584,8,1584,0.0,0.0,0.0,0.0,0
mpatacchiola/deepgaze,1846,2016-03-08,2072,14,2072,0.0,0.0,0.0,0.0,0
raiden-network/raiden,1839,2016-01-29,39565,204,39565,0.9106,0.8917,0.2243,0.8849,297
openatx/facebook-wda,1836,2016-07-10,3315,26,3315,0.446,0.1215,0.0783,0.1077,0
anymail/django-anymail,1826,2016-03-10,7947,46,7947,0.0556,0.043,0.0048,0.043,7
joowani/binarytree,1816,2016-09-20,2142,3,2142,1.0,1.0,0.2204,1.0,4
tdeboissiere/DeepLearningImplementations,1814,2016-09-10,8108,107,8108,0.0,0.0,0.0,0.0,0
bugy/script-server,1805,2016-05-02,9421,110,9421,0.0744,0.0898,0.0086,0.028,2
ethereum/pm,1791,2016-10-01,6542,30,6542,0.562,0.4439,0.0016,0.4305,0
quodlibet/mutagen,1789,2016-04-07,14813,60,14813,0.0337,0.0397,0.0091,0.0307,0
jwasham/practice-python,1756,2016-06-10,1895,50,1895,0.0,0.0,0.0,0.0,0
teamclairvoyant/airflow-maintenance-dags,1752,2016-12-15,2100,8,2100,0.0,0.0,0.0,0.0,0
kalliope-project/kalliope,1750,2016-10-11,8854,156,8854,0.0,0.0,0.0,0.0,0
keystone-engine/keypatch,1741,2016-07-28,1323,1,1323,0.0,0.0,0.0,0.0,0
chuyangliu/snake,1730,2016-06-25,2296,25,2296,0.0,0.0,0.0,0.0,0
sleventyeleven/linuxprivchecker,1725,2016-04-19,1111,4,1111,0.0,0.0,0.0,0.0,0
awslabs/aws-config-rules,1720,2016-02-08,54129,209,54129,0.0,0.0,0.0,0.0,0
meta-pytorch/tnt,1715,2016-12-10,13320,93,13320,0.9899,0.9903,0.4022,0.9891,143
yhangf/PythonCrawler,1710,2016-07-13,1077,26,1077,0.0,0.0,0.0,0.0,0
PyPSA/PyPSA,1698,2016-01-11,28799,81,28799,1.0,1.0,0.055,1.0,318
mdn/django-locallibrary-tutorial,1672,2016-11-02,1115,41,1115,0.0,0.0,0.0,0.0,0
RoliSoft/WSL-Distribution-Switcher,1670,2016-08-17,1209,6,1209,0.0,0.0,0.0,0.0,0
zwczou/weixin-python,1665,2016-08-31,1229,7,1229,0.0,0.0,0.0,0.0,0
explosion/sense2vec,1662,2016-01-23,1990,14,1990,0.5922,0.3596,0.0075,0.3371,1
ClimbsRocks/auto_ml,1654,2016-08-07,3873,14,3873,0.0,0.0,0.0,0.0,0
fossasia/pslab-python,1644,2016-06-10,8958,48,8958,0.5809,0.2784,0.0018,0.2732,0
graphql-python/gql,1641,2016-06-27,7702,41,7702,0.9752,0.7995,0.4097,0.7995,250
tensorly/tensorly,1637,2016-10-21,15555,93,15555,0.0403,0.0035,0.0,0.0035,0
Coder-Yu/QRec,1634,2016-09-24,6347,74,6347,0.0,0.0,0.0,0.0,0
tableau/TabPy,1630,2016-09-27,4664,50,4664,0.015,0.0185,0.0,0.0074,0
systemd/mkosi,1626,2016-07-13,18587,52,18587,1.0,0.9978,0.2133,0.9978,76
ScottfreeLLC/AlphaPy,1625,2016-02-14,9199,23,9199,0.0,0.0,0.0,0.0,0
indigo-dc/udocker,1623,2016-04-28,9164,46,9164,0.0,0.0,0.0,0.0,0
vgrem/office365-rest-python-client,1608,2016-02-08,60713,2308,60713,0.0006,0.0011,0.0005,0.0009,0
slgobinath/SafeEyes,1608,2016-01-08,5633,35,5633,0.4368,0.4909,0.2543,0.379,11
python-bonobo/bonobo,1604,2016-12-09,4901,78,4901,0.0015,0.0,0.0,0.0,0
nerevu/riko,1601,2016-06-02,13253,66,13253,0.0,0.0,0.0,0.0,0
ml4a/ml4a,1600,2016-06-01,4525,42,4525,0.0,0.0,0.0,0.0,0
littlecodersh/itchatmp,1596,2016-09-28,3539,54,3539,0.0,0.0,0.0,0.0,0
vimalloc/flask-jwt-extended,1589,2016-09-13,1809,11,1809,0.7988,0.863,0.0202,0.8082,15
carpedm20/deep-rl-tensorflow,1586,2016-06-10,1251,19,1251,0.0,0.0,0.0,0.0,0
fossasia/knittingpattern,1583,2016-05-27,3686,32,3686,0.0,0.0,0.0,0.0,0
kozec/sc-controller,1582,2016-04-24,35710,142,35710,0.0,0.0,0.0,0.0,0
crdoconnor/strictyaml,1581,2016-06-17,13633,48,13633,0.0007,0.0,0.0,0.0,0
marcelstoer/nodemcu-pyflasher,1571,2016-12-28,8588,6,8588,0.0,0.0,0.0,0.0,0
prettytable/prettytable,1554,2016-01-15,2718,4,2718,0.6982,0.9016,0.5145,0.7979,15
nithinmurali/pygsheets,1548,2016-06-06,5213,17,5213,0.0,0.0,0.0,0.0,0
fossasia/eventyay,1548,2016-07-05,160584,1277,160584,0.1081,0.0902,0.0011,0.0669,36
allenai/bi-att-flow,1539,2016-06-22,5788,51,5788,0.0,0.0,0.0,0.0,0
NetEaseGame/git-webhook,1529,2016-09-29,1169,32,1169,0.0,0.0,0.0,0.0,0
intelxed/xed,1521,2016-12-08,29732,85,29732,0.051,0.0425,0.0222,0.0349,12
nornir-automation/nornir,1515,2016-12-16,1802,25,1802,1.0,1.0,0.0857,1.0,88
JinpengLI/deep_ocr,1514,2016-09-25,6200,50,6200,0.0,0.0,0.0,0.0,0
LifeActor/ykdl,1510,2016-05-31,8647,119,8647,0.0,0.0,0.0,0.0,0
fossasia/eventyay-video,1507,2016-11-26,17411,211,17411,0.0351,0.023,0.0,0.0058,0
fossasia/x-mario-center,1504,2016-08-08,28958,170,28958,0.0,0.0,0.0,0.0,0
fossasia/AYABInterface,1504,2016-07-17,2121,16,2121,0.0,0.0,0.0,0.0,0
ztgrace/changeme,1501,2016-03-11,1787,29,1787,0.0,0.0,0.0,0.0,0
igogo-x86/HexRaysPyTools,1492,2016-10-17,4648,33,4648,0.0,0.0,0.0,0.0,0
awslabs/aws-support-tools,1491,2016-11-29,4234,40,4234,0.0,0.0,0.004,0.0,0
ahangchen/GDLnotes,1489,2016-05-08,5472,56,5472,0.0,0.0,0.0,0.0,0
tecladocode/rest-apis-flask-python,1487,2016-12-02,3160,97,3160,0.0,0.0,0.0,0.0,0
mjg59/python-broadlink,1485,2016-09-15,2191,15,2191,0.9474,0.9137,0.0026,0.9065,0
daavoo/pyntcloud,1482,2016-10-03,3923,62,3923,0.0,0.0,0.0,0.0,0
deependersingla/deep_trader,1482,2016-06-11,1620,27,1620,0.0,0.0,0.0,0.0,0
cedricp/ddt4all,1474,2016-11-03,10287,24,10287,0.0,0.0,0.0005,0.0,0
