repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
TheAlgorithms/Python,212101,2016-07-16,91638,1349,91638,0.8124,0.7759,0.0778,0.769,120
tensorflow/models,77663,2016-02-05,472270,2615,472270,0.2061,0.089,0.0383,0.0822,616
swisskyrepo/PayloadsAllTheThings,71192,2016-10-18,3186,28,3186,0.0,0.0,0.0,0.0,0
localstack/localstack,60978,2016-10-25,264152,1195,264152,0.8207,0.5762,1.1546,0.3126,523
commaai/openpilot,58619,2016-11-24,33112,345,33112,0.5514,0.3042,0.0732,0.2761,30
ray-project/ray,39553,2016-10-25,403925,2143,403925,0.7159,0.4841,0.0836,0.4425,2151
openai/gym,36713,2016-04-27,17401,114,17401,0.4289,0.2198,0.0258,0.15,20
trailofbits/algo,30020,2016-05-15,1278,8,1278,0.0,0.0,0.0,0.0,0
kovidgoyal/kitty,29513,2016-10-16,59508,231,59508,0.8787,0.8384,0.1645,0.834,734
littlecodersh/ItChat,26558,2016-01-19,2742,17,2742,0.0,0.0,0.0,0.0,0
AtsushiSakai/PythonRobotics,26131,2016-03-21,24596,164,24596,0.0454,0.0298,0.0064,0.0283,0
squidfunk/mkdocs-material,24938,2016-01-28,8723,121,8723,0.6545,0.2414,0.0855,0.2198,0
keon/algorithms,24812,2016-11-17,14935,384,14935,0.0712,0.0465,0.0,0.0382,0
pytorch/examples,23506,2016-08-24,8352,92,8352,0.1835,0.0413,0.0354,0.0391,11
jhao104/proxy_pool,22909,2016-11-25,1667,27,1667,0.0,0.0,0.0,0.0,0
spotDL/spotify-downloader,22659,2016-07-06,10231,56,10231,0.8663,0.7339,0.3177,0.6094,38
RasaHQ/rasa,20802,2016-10-14,66608,316,66608,1.0,0.9941,0.0593,0.9941,1410
facebook/prophet,19724,2016-11-16,3871,19,3871,0.1358,0.1833,0.0328,0.1333,0
magenta/magenta,19698,2016-05-05,54363,332,54363,0.0002,0.0,0.0,0.0,0
netbox-community/netbox,18882,2016-02-29,228221,887,228221,0.0163,0.0279,0.091,0.0188,5
sanic-org/sanic,18533,2016-05-26,26540,174,26540,0.7735,0.596,0.2093,0.5358,202
InstaPy/InstaPy,17555,2016-09-26,14053,33,14053,0.2616,0.0,0.0,0.0,0
pytorch/vision,17262,2016-11-09,64800,309,64800,0.7601,0.7039,0.0173,0.6932,842
wkentaro/labelme,15165,2016-05-09,5217,33,5217,0.1813,0.1667,0.1662,0.1574,0
bbfamily/abu,15145,2016-09-19,41759,248,41759,0.0,0.0,0.0,0.0,0
ShangtongZhang/reinforcement-learning-an-introduction,14365,2016-09-13,4662,26,4662,0.0,0.0,0.0,0.0,0
davidsandberg/facenet,14217,2016-02-12,6744,68,6744,0.0,0.0,0.0,0.0,0
ydataai/ydata-profiling,13225,2016-01-09,12655,174,12655,0.9522,0.9015,0.1656,0.867,156
threat9/routersploit,12791,2016-03-30,20985,529,20985,0.2206,0.1056,0.0,0.0957,0
apache/tvm,12767,2016-10-12,147199,888,147199,0.552,0.4839,0.0491,0.459,639
MorvanZhou/tutorials,12646,2016-05-29,3516,115,3516,0.0,0.0,0.0,0.0,0
