repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
awslabs/mcp,6869,2025-03-21,125751,100k–150k,833,125751,0.9007,0.7484,0.2017,0.7141,1459
simplescaling/s1,6585,2025-02-01,56495,50k–100k,364,56495,0.4415,0.2495,0.0663,0.1938,81
Klavis-AI/klavis,5311,2025-04-14,67848,50k–100k,357,67848,0.9345,0.832,0.0373,0.7769,842
stepfun-ai/Step-Audio,4538,2025-02-11,59632,50k–100k,330,59632,0.5075,0.2543,0.0112,0.231,71
LearningCircuit/local-deep-research,3544,2025-02-09,71444,50k–100k,341,71444,0.8236,0.6256,0.0369,0.6046,631
ML-GSAI/LLaDA,3130,2025-02-13,100082,100k–150k,976,100082,0.4702,0.234,0.0056,0.186,49
SkyworkAI/Skywork-R1V,2943,2025-03-15,72453,50k–100k,410,72453,0.2141,0.1529,0.0101,0.1119,92
inclusionAI/AReaL,2911,2025-02-24,109900,100k–150k,323,109900,0.5667,0.2418,0.1464,0.2139,254
Paper2Poster/Paper2Poster,2784,2025-05-16,59969,50k–100k,395,59969,0.7718,0.6762,0.1334,0.6562,469
IBM/mcp-context-forge,2750,2025-05-08,115633,100k–150k,373,115633,0.9168,0.8423,0.3012,0.7784,1356
MemTensor/MemOS,2717,2025-07-06,51015,50k–100k,250,51015,0.7111,0.6369,0.1297,0.5844,292
aigc3d/LHM,2442,2025-03-13,159937,150k–200k,1054,159937,0.1917,0.0988,0.008,0.0696,20
open-thoughts/open-thoughts,2128,2025-01-27,60072,50k–100k,473,60072,0.6309,0.4483,0.1215,0.4159,137
River-Zhang/ICEdit,2005,2025-04-29,266019,250k–300k,681,266019,0.5839,0.2217,0.0233,0.1838,415
iflytek/astron-rpa,1952,2025-09-20,50534,50k–100k,456,50534,0.6932,0.2362,0.1132,0.1943,169
isaac-sim/IsaacSim,1798,2025-05-28,153684,150k–200k,1249,153684,0.58,0.4015,0.006,0.3747,73
moondevonyt/moon-dev-ai-agents,1737,2025-01-01,370223,350k–400k,4854,370223,0.1426,0.0351,0.0002,0.0324,3
pipeshub-ai/pipeshub-ai,1606,2025-03-06,399016,350k–400k,504,399016,0.9265,0.9927,0.1429,0.6766,7173
Simple-Efficient/RL-Factory,1595,2025-05-23,59185,50k–100k,404,59185,0.4841,0.3026,0.0438,0.2218,195
RoboVerseOrg/RoboVerse,1498,2025-04-04,106894,100k–150k,510,106894,0.4532,0.3228,0.079,0.2777,60
Gen-Verse/MMaDA,1454,2025-05-21,95091,50k–100k,501,95091,0.2444,0.161,0.0124,0.1136,106
visomaster/VisoMaster,1448,2025-01-27,305199,300k–350k,49,305199,0.2516,0.076,0.0142,0.045,4
bytedance/Sa2VA,1367,2025-01-06,103952,100k–150k,444,103952,0.2821,0.1754,0.0038,0.1339,38
wild-card-ai/agents-json,1271,2025-01-30,247381,200k–250k,1602,247381,0.023,0.0074,0.0063,0.0019,165
open-thought/reasoning-gym,1204,2025-01-23,66608,50k–100k,212,66608,0.8983,0.7581,0.0304,0.7466,484
Zefan-Cai/R-KV,1140,2025-05-29,344433,300k–350k,1321,344433,0.7155,0.488,0.0978,0.456,672
ruc-datalab/DeepAnalyze,1119,2025-10-11,83613,50k–100k,603,83613,0.5226,0.3328,0.1006,0.2609,669
langfengQ/verl-agent,1100,2025-03-23,55853,50k–100k,376,55853,0.2848,0.1605,0.0126,0.1001,81
inclusionAI/AWorld,960,2025-03-14,52076,50k–100k,412,52076,0.7873,0.5775,0.1964,0.486,705
openai/frontier-evals,929,2025-03-28,87278,50k–100k,727,87278,0.83,0.7798,0.1922,0.7696,695
tencent-ailab/SongGeneration,843,2025-06-13,73407,50k–100k,181,73407,0.5068,0.1671,0.0284,0.1485,45
