repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
ScienceOne-AI/DeepSeek-671B-SFT-Guide,769,2025-03-07,114313,100k–150k,753,114313,0.2618,0.1176,0.0007,0.0719,3
D-Keqi/mtla,758,2025-05-19,97648,50k–100k,561,97648,0.2245,0.1114,0.0807,0.0886,86
RUC-NLPIR/ARPO,744,2025-07-22,98532,50k–100k,634,98532,0.5197,0.3666,0.045,0.272,289
SolaceLabs/solace-agent-mesh,744,2025-01-10,54137,50k–100k,248,54137,0.9445,0.6884,0.1381,0.6682,438
OpenGVLab/ScaleCUA,740,2025-09-09,126400,100k–150k,567,126400,0.4081,0.2978,0.0526,0.2409,410
NousResearch/atropos,733,2025-04-29,76292,50k–100k,301,76292,0.6829,0.4974,0.1122,0.4381,288
derisk-ai/OpenDerisk,728,2025-04-23,143490,100k–150k,1030,143490,0.8532,0.591,0.3067,0.5262,966
Kwai-Keye/Keye,690,2025-06-25,76667,50k–100k,418,76667,0.2381,0.1666,0.0099,0.1219,94
Westlake-AGI-Lab/Distill-Any-Depth,656,2025-02-20,59390,50k–100k,464,59390,0.3238,0.2036,0.0109,0.173,157
ByteDance-Seed/VideoWorld,641,2025-01-15,56603,50k–100k,320,56603,0.3735,0.3187,0.005,0.2356,26
mit-han-lab/streaming-vlm,622,2025-10-11,89321,50k–100k,505,89321,0.2324,0.1491,0.0086,0.1104,105
taco-group/4KAgent,603,2025-05-27,252896,250k–300k,1760,252896,0.0528,0.0409,0.0049,0.0356,40
EvolvingLMMs-Lab/LLaVA-OneVision-1.5,589,2025-09-16,120407,100k–150k,618,120407,0.3968,0.2529,0.0546,0.2352,130
mims-harvard/ToolUniverse,585,2025-03-03,205552,200k–250k,865,205552,0.834,0.6096,0.0397,0.5973,1420
CodeGoat24/UnifiedReward,581,2025-03-04,91116,50k–100k,471,91116,0.3069,0.1463,0.0533,0.1023,159
nv-tlabs/lyra,554,2025-09-09,61457,50k–100k,382,61457,0.6888,0.4641,0.0527,0.4121,160
SkyworkAI/Matrix-3D,545,2025-08-11,125831,100k–150k,600,125831,0.2289,0.1037,0.0071,0.0966,52
yfzhang114/Thyme,510,2025-08-17,126650,100k–150k,765,126650,0.3222,0.2257,0.0411,0.175,582
TencentARC/VideoPainter,510,2025-03-09,247027,200k–250k,617,247027,0.5528,0.1635,0.017,0.1363,268
Gen-Verse/ReasonFlux,494,2025-02-10,82397,50k–100k,584,82397,0.525,0.3601,0.052,0.2693,214
yongliang-wu/DFT,483,2025-08-01,58151,50k–100k,309,58151,0.4088,0.1936,0.0251,0.1324,118
OPPO-PersonalAI/Agent_Foundation_Models,479,2025-08-05,71430,50k–100k,466,71430,0.5691,0.3956,0.0573,0.3024,213
xiaomi-mlab/Orion,472,2025-03-11,55689,50k–100k,295,55689,0.1538,0.1389,0.0021,0.1243,51
vivoCameraResearch/Magic-TryOn,469,2025-05-29,98264,50k–100k,696,98264,0.2312,0.1447,0.0073,0.1343,203
iSEE-Laboratory/LLMDet,466,2025-01-30,79050,50k–100k,531,79050,0.5769,0.487,0.0118,0.4253,3
zstar1003/FreeTex,460,2025-05-04,132737,100k–150k,166,132737,0.4107,0.0556,0.0032,0.0479,4
