repo,stars,created_at,loc_full,size_band,default_branch,files_scanned,loc_scanned,functions_total,params_total_excl_selfcls,params_annotated,ret_annotated,var_annotated,fully_annotated_functions,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total,var_z,leaderboard_score,any_scaled,typing_debt
psf/black,41092,2018-03-14,98827,50k–100k,main,60,98827,627,969,941,617,491,606,0.9711,0.9841,0.249,0.9665,44,2.0,1.18143,0.0,0.017775000000000023
gradio-app/gradio,40342,2018-12-19,69707,50k–100k,main,621,69707,2274,5271,3805,863,563,798,0.7219,0.3795,0.0729,0.3509,344,0.286490364566089,0.5149780729132177,0.41362530413625304,0.41470132603406323
mindsdb/mindsdb,36604,2018-08-02,117994,100k–150k,main,1339,117994,5410,7116,4103,2500,1280,2262,0.5766,0.4621,0.0567,0.4181,287,0.05943862800537264,0.4330927256010746,0.32116788321167883,0.4321919708029197
jax-ml/jax,33816,2018-10-25,219151,200k–250k,main,625,219151,11917,30456,13846,4571,2382,3977,0.4546,0.3836,0.0539,0.3337,1155,0.02019511798253283,0.3428690235965065,1.0,0.68035
open-mmlab/mmdetection,31891,2018-08-22,170875,150k–200k,main,1705,170875,3798,11210,7564,2224,74,1940,0.6748,0.5856,0.0024,0.5108,9,-0.7016051556518431,0.3682989688696313,0.0,0.27066
mlflow/mlflow,22696,2018-06-05,183351,150k–200k,master,917,183351,8888,14788,6414,3403,1400,3085,0.4337,0.3829,0.0721,0.3471,1334,0.2752779331309918,0.3842355866261984,1.0,0.689965
PrefectHQ/prefect,20673,2018-06-29,215486,200k–250k,main,960,215486,6888,12560,12250,5325,5769,5293,0.9753,0.7731,0.2646,0.7684,2790,2.0,1.10947,1.0,0.329185
cvat-ai/cvat,14658,2018-06-29,53438,50k–100k,develop,411,53438,3294,4840,2565,1154,691,1052,0.53,0.3503,0.0787,0.3194,193,0.367780492470543,0.4346610984941086,0.16869424168694241,0.4485835604217355
dmlc/dgl,14110,2018-04-20,107240,100k–150k,master,452,107240,4399,8063,555,225,160,206,0.0688,0.0511,0.0128,0.0468,5,-0.5558435469955808,-0.06232370939911616,0.0,0.7037100000000001
PaddlePaddle/PaddleFormers,12941,2018-12-21,104599,100k–150k,develop,346,104599,4081,9737,2676,566,1033,419,0.2748,0.1387,0.0543,0.1027,112,0.02580133370008135,0.17736526674001626,0.0373073803730738,0.5940568450932684
ludwig-ai/ludwig,11606,2018-12-27,74372,50k–100k,master,407,74372,4314,8777,5007,1898,2424,1694,0.5705,0.44,0.3099,0.3927,220,2.0,0.810725,0.21248986212489862,0.4143974655312247
sqlalchemy/sqlalchemy,11059,2018-11-27,185097,150k–200k,main,264,185097,11332,19026,11600,6678,2259,6652,0.6097,0.5893,0.1422,0.587,5397,1.257767237631375,0.7321734475262751,1.0,0.548845
kornia/kornia,10814,2018-08-22,65735,50k–100k,main,498,65735,3161,7342,7130,3074,1611,3052,0.9711,0.9725,0.1652,0.9655,584,1.580124641390417,1.0933949282780833,0.8029197080291971,0.22198492700729927
modin-project/modin,10314,2018-06-21,80147,50k–100k,main,287,80147,3800,8591,2054,1480,201,891,0.2391,0.3895,0.0241,0.2345,209,-0.3974679529748342,0.16442640940503317,0.19464720194647203,0.574216800486618
triton-inference-server/server,9944,2018-10-04,61820,50k–100k,main,358,61820,2387,3313,237,94,267,83,0.0715,0.0394,0.0278,0.0348,3,-0.34561045758751013,-0.023157091517502032,0.0,0.706005
sktime/sktime,9308,2018-11-06,217690,200k–250k,main,1034,217690,6328,15215,2361,595,126,356,0.1552,0.094,0.0052,0.0563,100,-0.6623616456290032,-0.02973232912580065,0.017842660178426603,0.6564206650446066
sqlfluff/sqlfluff,9277,2018-11-01,104540,100k–150k,main,263,104540,1310,2173,2070,1224,1233,1185,0.9526,0.9344,0.1705,0.9046,105,1.6544069996479354,1.086591399929587,0.025952960259529603,0.04749824006488239
