repo,stars,created_at,loc_full,size_band,default_branch,files_scanned,loc_scanned,functions_total,params_total_excl_selfcls,params_annotated,ret_annotated,var_annotated,fully_annotated_functions,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total,var_z,leaderboard_score,any_scaled,typing_debt
unit8co/darts,8986,2018-09-13,59683,50k–100k,master,152,59683,1765,4783,4065,1041,97,884,0.8499,0.5898,0.0192,0.5008,106,-0.466144095514804,0.49565618089703917,0.027575020275750203,0.19749875506893758
feast-dev/feast,6422,2018-12-10,72287,50k–100k,master,504,72287,3415,7447,5872,1714,1133,1567,0.7885,0.5019,0.1533,0.4589,335,1.4133397237933474,0.8131579447586694,0.39902676399026765,0.3443616909975669
crytic/slither,5971,2018-09-05,56152,50k–100k,master,537,56152,2777,2672,2488,2461,1044,2427,0.9311,0.8862,0.1469,0.874,111,1.3236402723125709,0.9938930544625142,0.035685320356853206,0.07406633008921329
dmlc/gluon-cv,5912,2018-02-26,93628,50k–100k,master,510,93628,3840,11012,309,141,412,134,0.0281,0.0367,0.0219,0.0349,22,-0.42830213942135126,-0.06017042788427025,0.0,0.726345
Trusted-AI/adversarial-robustness-toolbox,5613,2018-03-15,64758,50k–100k,main,368,64758,2248,6621,5258,1638,349,1223,0.7941,0.7286,0.0292,0.544,78,-0.3259887025760902,0.547157259484782,0.0,0.17407499999999998
holoviz/panel,5478,2018-08-23,50069,50k–100k,main,198,50069,2465,3839,1782,757,689,667,0.4642,0.3071,0.0778,0.2706,345,0.35516650710605857,0.3874083014212117,0.41524736415247365,0.5527918410381185
Azure/Azure-Sentinel,5324,2018-08-18,95554,50k–100k,master,850,95554,3476,6121,1442,721,117,617,0.2356,0.2074,0.007,0.1775,66,-0.6371336749000348,0.05118326501999301,0.0,0.58176
DeepLabCut/DeepLabCut,5310,2018-03-26,64545,50k–100k,main,312,64545,2205,5655,2580,716,147,648,0.4562,0.3247,0.0123,0.2939,45,-0.5628513166425165,0.20636473667149666,0.0,0.44730000000000003
google/google-ctf,4809,2018-04-27,267552,250k–300k,main,3338,267552,20938,26273,5523,1624,2066,1318,0.2102,0.0776,0.0558,0.0629,90,0.04682464264088843,0.1311149285281777,0.0016220600162206002,0.6325355150040552
hzy46/Deep-Learning-21-Examples,4635,2018-01-01,74613,50k–100k,master,509,74613,3018,5142,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
tensorflow/datasets,4496,2018-09-10,134886,100k–150k,master,1646,134886,5820,6126,2868,1635,593,1545,0.4682,0.2809,0.0373,0.2655,316,-0.21246283429573207,0.26651243314085354,0.3682076236820762,0.547091905920519
pythonguis/pythonguis-examples,4470,2018-02-09,129764,100k–150k,master,384,129764,2055,1439,48,0,0,0,0.0334,0.0,0.0,0.0,0,-0.7352424499571344,-0.1320184899914269,0.0,0.73497
midoks/mdserver-web,4425,2018-09-11,63633,50k–100k,master,249,63633,4687,3015,2,18,0,6,0.0007,0.0038,0.0,0.0013,0,-0.7352424499571344,-0.14540348999142688,0.0,0.748545
openvinotoolkit/open_model_zoo,4308,2018-10-15,89947,50k–100k,master,650,89947,6428,10836,123,25,7,13,0.0114,0.0039,0.0003,0.002,0,-0.7310377881689729,-0.1397125576337946,0.0,0.7437
kubeflow/pipelines,3965,2018-05-12,118415,100k–150k,master,1072,118415,5365,10295,7920,1505,652,1460,0.7693,0.2805,0.0754,0.2721,383,0.3215292128007673,0.5086658425601535,0.4768856447688564,0.43888641119221417
rotki/rotki,3308,2018-03-05,148659,100k–150k,develop,1582,148659,6031,11012,10982,5891,3343,5889,0.9973,0.9768,0.2236,0.9765,1603,2.0,1.190665,1.0,0.25817500000000004
fastnlp/fastNLP,3144,2018-03-07,53883,50k–100k,master,254,53883,2764,5586,2213,595,258,422,0.3962,0.2153,0.037,0.1527,75,-0.2166674960838935,0.2103115007832213,0.0,0.50712
osmr/imgclsmob,3017,2018-07-09,242513,200k–250k,master,641,242513,9181,26892,8,4,0,4,0.0003,0.0004,0.0,0.0004,0,-0.7352424499571344,-0.1467734899914269,0.0,0.749745
pedroCabrera/PyFlow,2967,2018-01-09,108418,100k–150k,master,211,108418,2869,2527,0,0,6,0,0.0,0.0,0.0014,0.0,0,-0.7156206949457145,-0.1431241389891429,0.0,0.75
tensorflow/agents,2963,2018-11-17,98163,50k–100k,master,483,98163,5064,6632,2164,610,7,584,0.3263,0.1205,0.0004,0.1153,71,-0.7296362342395859,0.04308275315208279,0.0,0.567015
PennyLaneAI/pennylane,2856,2018-04-17,188446,150k–200k,master,697,188446,8482,16046,5147,2663,326,2091,0.3208,0.314,0.0149,0.2465,97,-0.5264109144784509,0.1489778171043098,0.012976480129764802,0.5146841200324412
tensorflow/lingvo,2852,2018-07-24,178131,150k–200k,master,437,178131,9399,13389,707,352,49,312,0.0528,0.0375,0.0012,0.0332,64,-0.7184238028044887,-0.10679976056089774,0.0,0.71499
mars-project/mars,2749,2018-12-05,160375,150k–200k,master,1081,160375,9331,16254,4175,1145,598,986,0.2569,0.1227,0.0218,0.1057,192,-0.4297036933507384,0.07260926132985235,0.16707218167072183,0.6393530454176805
aws-cloudformation/cfn-lint,2588,2018-04-10,122948,100k–150k,main,2107,122948,1273,2235,1500,704,389,671,0.6711,0.553,0.11,0.5271,827,0.806466872368717,0.6568383744737434,1.0,0.5321049999999999
napari/napari,2516,2018-08-13,132237,100k–150k,main,772,132237,7545,8079,3568,2729,918,2431,0.4416,0.3617,0.0552,0.3222,232,0.03841531906456556,0.33299806381291314,0.23195458231954583,0.5007586455798865
google-parfait/tensorflow-federated,2405,2018-12-12,106779,100k–150k,main,443,106779,5712,6543,2267,893,123,854,0.3465,0.1563,0.008,0.1495,155,-0.6231181356061634,0.0860063728787673,0.1070559610705596,0.5739489902676399
xavier150/Blender-For-UnrealEngine-Addons,2359,2018-08-05,80951,50k–100k,release,438,80951,4683,8895,1925,1013,903,1009,0.2164,0.2163,0.0511,0.2155,382,-0.019048392040307074,0.1692753215919386,0.47526358475263586,0.706545896188159
sabri-zaki/EasY_HaCk,2233,2018-09-11,134727,100k–150k,master,976,134727,4722,4717,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
diffgram/diffgram,1890,2018-09-06,60545,50k–100k,master,659,60545,2581,5175,1290,221,246,139,0.2493,0.0856,0.0243,0.0539,14,-0.39466484511606,0.06321203097678799,0.0,0.6121350000000001
julesontheroad/NSC_BUILDER,1870,2018-09-16,86173,50k–100k,master,108,86173,2636,4813,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
mlcommons/training,1720,2018-03-29,87068,50k–100k,master,638,87068,4611,9695,657,181,92,171,0.0678,0.0393,0.005,0.0371,18,-0.6651647534877776,-0.08876795069755553,0.0,0.7077
google-research/language,1718,2018-10-16,141676,100k–150k,master,911,141676,6166,12674,1608,549,679,530,0.1269,0.089,0.0226,0.086,231,-0.4184912619156413,0.004556747616871734,0.2303325223033252,0.7237781305758313
oracle/graalpython,1493,2018-04-17,305301,300k–350k,master,1067,305301,20452,25876,805,548,170,530,0.0311,0.0268,0.0036,0.0259,57,-0.6847865084991974,-0.11358230169983949,0.0,0.727965
mrh0wl/Cloudmare,1479,2018-02-22,87589,50k–100k,master,433,87589,5087,8051,233,88,23,88,0.0289,0.0173,0.0019,0.0173,10,-0.7086129252987788,-0.12266258505975577,0.0,0.731805
mlcommons/inference,1478,2018-09-13,59369,50k–100k,master,359,59369,2564,4652,480,226,43,212,0.1032,0.0881,0.004,0.0827,34,-0.6791802927816488,-0.05856105855632977,0.0,0.67713
Xilinx/brevitas,1412,2018-07-10,58590,50k–100k,master,348,58590,3616,7780,3309,933,416,793,0.4253,0.258,0.0422,0.2193,242,-0.1437866917557623,0.2529276616488475,0.24817518248175183,0.5432587956204379
pybamm-team/PyBaMM,1392,2018-10-31,61484,50k–100k,develop,325,61484,2850,4566,717,144,42,125,0.157,0.0505,0.0038,0.0439,9,-0.6819834006404232,-0.048071680128084646,0.0,0.6642
FreeOpcUa/opcua-asyncio,1335,2018-08-02,315204,300k–350k,master,97,315204,2329,3241,1301,719,1898,654,0.4014,0.3087,0.0353,0.2808,36,-0.24049391288347483,0.24057621742330498,0.0,0.47675999999999996
iGio90/Dwarf,1307,2018-12-18,56084,50k–100k,master,97,56084,904,761,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
tensorflow/model-analysis,1267,2018-03-23,61970,50k–100k,master,238,61970,2233,3936,3057,920,103,890,0.7767,0.412,0.0165,0.3986,222,-0.5039860516082567,0.3929177896783486,0.21573398215733983,0.330818495539335
TencentBlueKing/bk-sops,1209,2018-10-15,75148,50k–100k,release_humming_bird,1185,75148,2666,5039,492,155,174,87,0.0976,0.0581,0.0133,0.0326,116,-0.5488357773486451,-0.04551215546972902,0.043795620437956206,0.6995989051094891
open-edge-platform/training_extensions,1201,2018-10-26,67395,50k–100k,develop,507,67395,2829,6485,6263,2621,894,2473,0.9658,0.9265,0.0945,0.8742,253,0.5892260133137107,0.8767302026627422,0.2660178426601784,0.10394446066504462
w-digital-scanner/w9scan,1138,2018-01-23,62784,50k–100k,master,1364,62784,2820,4215,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
zigpy/zha-device-handlers,977,2018-11-18,59014,50k–100k,dev,401,59014,499,1061,449,113,772,105,0.4232,0.2265,0.1736,0.2104,88,1.6978551714589365,0.6092860342917874,0.0,0.49161
freewym/espresso,941,2018-12-02,91504,50k–100k,main,524,91504,4850,10063,2058,486,1283,378,0.2045,0.1002,0.0939,0.0779,86,0.5808166897373878,0.24325833794747753,0.0,0.627915
AcademySoftwareFoundation/OpenCue,891,2018-05-16,58437,50k–100k,master,231,58437,3135,2802,55,69,13,57,0.0196,0.022,0.0026,0.0182,5,-0.6988020477930689,-0.12324040955861376,0.0,0.73458
process-intelligence-solutions/pm4py,869,2018-07-03,159006,150k–200k,release,1467,159006,3961,10178,4921,1504,44,1229,0.4835,0.3797,0.0019,0.3103,1307,-0.7086129252987788,0.20874741494024418,1.0,0.668515
linxid/Machine_Learning_Study_Path,853,2018-02-27,104651,100k–150k,master,395,104651,4461,6304,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7352424499571344,-0.1470484899914269,0.0,0.75
CedricGuillemet/Imogen,779,2018-08-26,213499,200k–250k,master,611,213499,12847,17643,28,44,0,41,0.0016,0.0034,0.0,0.0032,1,-0.7352424499571344,-0.1451384899914269,0.0,0.74826
