repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
tensorflow/gnn,1494,2021-08-10,60658,50k–100k,214,60658,0.7055,0.3545,0.0067,0.3226,167
microsoft/NeuralSpeech,1453,2021-11-04,113420,100k–150k,572,113420,0.1362,0.0796,0.0501,0.0604,78
open-mmlab/mmhuman3d,1382,2021-11-29,50791,50k–100k,300,50791,0.4484,0.2467,0.0011,0.1784,31
nautobot/nautobot,1314,2021-02-19,119709,100k–150k,820,119709,0.0369,0.0286,0.0047,0.0255,3
nextcord/nextcord,1255,2021-08-28,55027,50k–100k,122,55027,0.9301,0.9159,0.7133,0.8532,450
BR-IDL/PaddleViT,1233,2021-08-30,128519,100k–150k,723,128519,0.0017,0.0008,0.0,0.0006,0
Mathics3/mathics-core,1131,2021-09-11,82042,50k–100k,335,82042,0.3091,0.3067,0.0192,0.1816,49
loseys/BlackMamba,1102,2021-02-09,93404,50k–100k,13,93404,0.0,0.0,0.0,0.0,0
StanfordVL/BEHAVIOR-1K,1063,2021-12-17,104186,100k–150k,490,104186,0.097,0.0688,0.0118,0.0588,32
metadriverse/metadrive,1031,2021-08-28,57268,50k–100k,463,57268,0.1439,0.0582,0.0059,0.0397,5
XiangLi1999/PrefixTuning,950,2021-01-21,93321,50k–100k,220,93321,0.1487,0.1402,0.0446,0.1091,48
BUPT-GAMMA/OpenHGNN,934,2021-01-26,52140,50k–100k,269,52140,0.0531,0.0168,0.0001,0.0146,3
motional/nuplan-devkit,895,2021-05-27,55491,50k–100k,511,55491,0.9939,0.9611,0.2428,0.9602,393
dropreg/R-Drop,883,2021-05-28,222361,200k–250k,810,222361,0.1852,0.1099,0.0518,0.088,105
tusen-ai/SST,863,2021-12-10,67657,50k–100k,405,67657,0.0184,0.0156,0.0004,0.0086,0
jwt1399/Sec-Tools,824,2021-11-05,167365,150k–200k,275,167365,0.0,0.0,0.0,0.0,0
NVIDIA/NVFlare,817,2021-07-23,120221,100k–150k,1176,120221,0.6498,0.3056,0.0192,0.2574,277
megvii-model/YOLOF,813,2021-03-11,56267,50k–100k,264,56267,0.1653,0.1357,0.0023,0.1303,21
othermod/PSPi-Version-6,795,2021-10-20,66775,50k–100k,238,66775,0.0546,0.0948,0.0244,0.0896,6
stargatedaw/stargate,781,2021-09-27,55842,50k–100k,271,55842,0.0543,0.0133,0.0003,0.0093,12
DisnakeDev/disnake,749,2021-08-28,73870,50k–100k,168,73870,0.9886,0.9953,0.6999,0.9829,733
zjunlp/PromptKG,732,2021-12-18,54701,50k–100k,218,54701,0.1073,0.0807,0.0326,0.0539,24
burghoff/Scientific-Inkscape,721,2021-04-07,78990,50k–100k,247,78990,0.3443,0.2942,0.0291,0.2916,495
guyuehome/guyueclass,693,2021-01-19,61792,50k–100k,434,61792,0.0135,0.0093,0.0005,0.0093,2
Westlake-AI/openmixup,656,2021-12-30,114637,100k–150k,1838,114637,0.0854,0.0683,0.0036,0.0598,0
gl4ssesbo1/Nebula,626,2021-04-16,165229,150k–200k,212,165229,0.0,0.0,0.0,0.0,0
Tracardi/tracardi,605,2021-04-02,51432,50k–100k,912,51432,0.516,0.4404,0.5128,0.3246,94
