repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
hpcaitech/ColossalAI,41219,2021-10-28,150613,150k–200k,1013,150613,0.6308,0.3946,0.0349,0.3334,556
Textualize/textual,31827,2021-04-08,64477,50k–100k,247,64477,0.9885,0.9713,0.2119,0.9639,72
ivy-llc/ivy,14238,2021-01-19,409352,400k–450k,1443,409352,0.3158,0.251,0.0044,0.2414,139
PaddlePaddle/PaddleNLP,12818,2021-02-05,406034,400k–450k,1685,406034,0.2708,0.123,0.0312,0.0947,356
skypilot-org/skypilot,8876,2021-08-11,130648,100k–150k,466,130648,0.8671,0.7295,0.0777,0.7034,906
zhiyiYo/PyQt-Fluent-Widgets,7296,2021-07-29,119288,100k–150k,104,119288,0.4705,0.0446,0.0004,0.0353,0
open-edge-platform/anomalib,5078,2021-11-02,55140,50k–100k,378,55140,0.9322,0.9808,0.0721,0.9021,111
microsoft/muzic,4859,2021-06-03,74348,50k–100k,565,74348,0.0549,0.0927,0.0074,0.0574,4
tonquer/picacg-qt,4657,2021-02-05,313581,300k–350k,266,313581,0.0111,0.0233,0.0,0.0103,0
facebookincubator/cinder,3721,2021-03-16,301695,300k–350k,940,301695,0.0795,0.0865,0.019,0.0855,84
google-research/scenic,3695,2021-07-12,160876,150k–200k,850,160876,0.5293,0.3337,0.1009,0.3171,787
opengeos/leafmap,3538,2021-03-10,51418,50k–100k,25,51418,0.6047,0.4153,0.002,0.2572,397
opendilab/DI-engine,3534,2021-07-04,151039,150k–200k,1294,151039,0.7,0.6403,0.0076,0.5939,865
tonquer/JMComic-qt,3375,2021-12-17,483802,450k–500k,237,483802,0.0219,0.0271,0.0,0.0133,0
Pycord-Development/pycord,2896,2021-08-28,67270,50k–100k,159,67270,0.8383,0.7485,0.6405,0.6969,441
iterativv/NostalgiaForInfinity,2709,2021-07-14,332580,300k–350k,23,332580,0.621,0.6613,0.0015,0.1939,0
IndieSmiths/nodezator,2673,2021-10-07,61528,50k–100k,478,61528,0.1478,0.0786,0.0,0.0544,0
Xpra-org/xpra,2511,2021-01-22,136964,100k–150k,771,136964,0.4942,0.8319,0.0709,0.5104,933
pyston/pyston,2509,2021-03-01,291668,250k–300k,967,291668,0.0014,0.0025,0.0,0.0023,2
meta-pytorch/torchrec,2382,2021-07-12,82738,50k–100k,278,82738,0.9664,0.9701,0.3625,0.9452,563
joouha/euporie,2247,2021-05-08,50008,50k–100k,184,50008,0.9963,0.9982,0.1248,0.9982,385
alibaba/AliceMind,2041,2021-05-21,159043,150k–200k,765,159043,0.1061,0.0613,0.0166,0.0489,118
Tencent/CodeAnalysis,1806,2021-12-28,62223,50k–100k,722,62223,0.003,0.0017,0.0,0.0013,0
aws-samples/serverless-patterns,1754,2021-02-12,166121,150k–200k,1075,166121,0.083,0.0814,0.0194,0.0694,50
hystax/optscale,1734,2021-02-01,128423,100k–150k,998,128423,0.0245,0.0208,0.0014,0.0167,6
vzhd1701/gridplayer,1679,2021-10-13,146836,100k–150k,137,146836,0.1754,0.1302,0.0853,0.096,2
HuangJunJie2017/BEVDet,1668,2021-11-29,70852,50k–100k,486,70852,0.0089,0.0068,0.0,0.004,0
NVIDIA/trt-samples-for-hackathon-cn,1645,2021-03-19,70861,50k–100k,620,70861,0.0782,0.0778,0.0001,0.0642,7
Javacr/PyQt5-YOLOv5,1516,2021-09-28,186896,150k–200k,48,186896,0.0036,0.0,0.0,0.0,0
