repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
langchain-ai/langchain,118365,2022-10-17,149090,100k–150k,1697,149090,0.9998,0.9957,0.1855,0.9957,3817
pathwaycom/pathway,48868,2022-11-27,60777,50k–100k,289,60777,0.7705,0.6541,0.2819,0.5845,200
run-llama/llama_index,44956,2022-11-02,244775,200k–250k,2337,244775,0.9667,0.9181,0.2167,0.8955,5160
agno-agi/agno,34696,2022-05-04,199712,150k–200k,2410,199712,0.9512,0.8039,0.2801,0.7747,2811
huggingface/diffusers,31425,2022-05-30,358278,350k–400k,851,358278,0.6024,0.2251,0.0146,0.2009,469
Dao-AILab/flash-attention,20227,2022-05-19,50054,50k–100k,150,50054,0.3842,0.23,0.0263,0.1586,51
flet-dev/flet,14617,2022-03-24,60104,50k–100k,478,60104,0.691,0.2942,0.2861,0.2819,139
modelscope/FunASR,13260,2022-11-24,104543,100k–150k,1092,104543,0.5473,0.2593,0.0031,0.2295,92
huggingface/text-generation-inference,10606,2022-10-08,85336,50k–100k,351,85336,0.4953,0.2421,0.0467,0.2131,37
mage-ai/mage-ai,8507,2022-05-16,158272,150k–200k,1709,158272,0.5554,0.4889,0.076,0.3508,380
modelscope/modelscope,8423,2022-07-25,465021,450k–500k,2853,465021,0.1626,0.1121,0.0073,0.0845,1831
brycedrennan/imaginAIry,8146,2022-09-12,50115,50k–100k,330,50115,0.3205,0.3169,0.0271,0.2986,84
Sygil-Dev/sygil-webui,7905,2022-08-24,55854,50k–100k,154,55854,0.1224,0.0156,0.0093,0.0151,15
vladmandic/sdnext,6683,2022-12-24,179165,150k–200k,1006,179165,0.4029,0.1265,0.0243,0.106,229
NVIDIA/warp,5716,2022-03-18,65145,50k–100k,198,65145,0.7402,0.2229,0.0421,0.1903,566
mouredev/retos-programacion-2023,5534,2022-12-22,105621,100k–150k,3027,105621,0.3704,0.209,0.0229,0.1976,0
isaac-sim/IsaacLab,5288,2022-11-16,95738,50k–100k,830,95738,0.8129,0.4911,0.2151,0.4717,123
facebookincubator/AITemplate,4688,2022-07-15,109656,100k–150k,699,109656,0.3896,0.3886,0.0468,0.3346,337
dlt-hub/dlt,4345,2022-01-26,72262,50k–100k,507,72262,0.9954,0.9764,0.3215,0.9753,1475
FlagAI-Open/FlagAI,3876,2022-05-16,58915,50k–100k,293,58915,0.1439,0.0775,0.0102,0.0532,19
grafana/oncall,3829,2022-06-01,68995,50k–100k,978,68995,0.4546,0.3729,0.0945,0.3326,48
PaddlePaddle/FastDeploy,3544,2022-06-27,84330,50k–100k,408,84330,0.623,0.3474,0.1325,0.3011,141
pytorch/executorch,3418,2022-02-25,151455,150k–200k,1304,151455,0.6096,0.4989,0.1294,0.4376,498
pytorch/rl,3134,2022-02-01,150305,150k–200k,372,150305,0.5904,0.4284,0.0983,0.3817,571
embeddings-benchmark/mteb,2941,2022-04-05,106682,100k–150k,1241,106682,0.8756,0.6565,0.0711,0.6136,241
NVIDIA/TransformerEngine,2860,2022-09-20,62348,50k–100k,163,62348,0.5269,0.5228,0.057,0.445,60
OpenGVLab/InternImage,2750,2022-11-10,83864,50k–100k,636,83864,0.0327,0.0341,0.0036,0.0274,4
TobikoData/sqlmesh,2695,2022-09-23,68846,50k–100k,266,68846,0.9625,0.9603,0.3179,0.9601,1108
baaivision/EVA,2584,2022-11-14,134035,100k–150k,1039,134035,0.248,0.1201,0.0111,0.1115,173
secretflow/secretflow,2555,2022-04-15,82015,50k–100k,747,82015,0.5508,0.3524,0.0914,0.2635,109
OFA-Sys/OFA,2538,2022-01-29,85661,50k–100k,504,85661,0.1738,0.0838,0.0758,0.0647,80
alibaba/EasyNLP,2171,2022-04-06,88343,50k–100k,332,88343,0.1737,0.116,0.0151,0.0952,74
cider-security-research/cicd-goat,2153,2022-03-27,68891,50k–100k,935,68891,0.5599,0.232,0.1617,0.2205,382
OpenGVLab/InternVideo,2088,2022-11-23,206676,200k–250k,1250,206676,0.0977,0.0335,0.0034,0.0298,120
dstackai/dstack,1937,2022-01-04,56748,50k–100k,565,56748,0.9727,0.7412,0.2967,0.7296,102
alibaba/EasyCV,1921,2022-04-02,113391,100k–150k,925,113391,0.0427,0.0241,0.0004,0.0125,7
Fafa-DL/Awesome-Backbones,1870,2022-01-04,50191,50k–100k,348,50191,0.0551,0.0491,0.001,0.041,3
ainfosec/FISSURE,1820,2022-08-08,202968,200k–250k,1129,202968,0.1441,0.0072,0.0115,0.0063,14
ViTAE-Transformer/ViTPose,1794,2022-04-27,118810,100k–150k,761,118810,0.0537,0.0139,0.0009,0.0139,0
GestaltCogTeam/BasicTS,1468,2022-02-21,70024,50k–100k,753,70024,0.2402,0.1641,0.0037,0.1156,6
hustvl/MapTR,1404,2022-07-28,78354,50k–100k,587,78354,0.0203,0.0143,0.0,0.0066,0
microsoft/SpeechT5,1399,2022-02-08,52081,50k–100k,215,52081,0.2912,0.1099,0.109,0.0843,43
dgunning/edgartools,1348,2022-12-24,63675,50k–100k,217,63675,0.8765,0.5713,0.1635,0.546,328
OpenDriveLab/Birds-eye-view-Perception,1324,2022-08-20,118847,100k–150k,810,118847,0.0431,0.0257,0.0,0.0164,0
dbt-labs/metricflow,1311,2022-04-04,80265,50k–100k,824,80265,0.9971,0.9972,0.3523,0.9956,38
Sense-X/Co-DETR,1304,2022-11-19,99590,50k–100k,1109,99590,0.0011,0.0,0.0001,0.0,0
aeon-toolkit/aeon,1257,2022-12-20,106196,100k–150k,534,106196,0.3274,0.2925,0.0036,0.1904,33
CoderWanFeng/python-office,1204,2022-04-22,216907,200k–250k,111,216907,0.225,0.0462,0.0,0.0231,0
xorbitsai/xorbits,1199,2022-07-27,161652,150k–200k,1122,161652,0.2678,0.1271,0.0217,0.1092,228
XiangLi1999/Diffusion-LM,1192,2022-05-25,313647,300k–350k,789,313647,0.2505,0.1395,0.0461,0.1114,190
facebookresearch/home-robot,1146,2022-11-01,64451,50k–100k,326,64451,0.5022,0.2487,0.0152,0.2056,120
Cerebras/modelzoo,1081,2022-04-08,113376,100k–150k,676,113376,0.2452,0.2266,0.1239,0.2087,277
Candy-CY/Hyperspectral-Image-Classification-Models,939,2022-04-09,100095,100k–150k,486,100095,0.0269,0.0087,0.0,0.0071,0
RoboSats/robosats,919,2022-01-01,101750,100k–150k,138,101750,0.0507,0.0571,0.0,0.049,0
ADLab-AutoDrive/BEVFusion,898,2022-05-27,107200,100k–150k,1090,107200,0.0103,0.0063,0.0,0.0026,2
