repo,stars,created_at,loc_full,size_band,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
koreainvestment/open-trading-api,885,2022-04-08,100778,100k–150k,774,100778,0.8113,0.4458,0.0015,0.4331,24
Sense-X/UniFormer,885,2022-01-12,184623,150k–200k,2041,184623,0.007,0.0018,0.0001,0.0015,0
temporalio/sdk-python,842,2022-01-24,59263,50k–100k,245,59263,0.6969,0.7955,0.3193,0.7896,691
ietf-tools/datatracker,836,2022-03-03,101247,100k–150k,612,101247,0.029,0.0041,0.0025,0.0025,1
checkthechain/checkthechain,836,2022-02-08,57205,50k–100k,620,57205,1.0,1.0,0.1907,1.0,590
ThereforeGames/unprompted,806,2022-10-31,121330,100k–150k,1078,121330,0.0481,0.0223,0.0025,0.0163,9
meowcateatrat/elephant,763,2022-04-08,202587,200k–250k,1099,202587,0.0229,0.0102,0.0027,0.0082,7
Sense-GVT/Fast-BEV,757,2022-10-19,63392,50k–100k,436,63392,0.0219,0.039,0.0006,0.0266,12
markqvist/Sideband,754,2022-04-07,95688,50k–100k,432,95688,0.1243,0.1721,0.0098,0.1181,12
hidet-org/hidet,733,2022-01-04,85186,50k–100k,574,85186,0.7783,0.3432,0.1172,0.3059,141
nuclia/nucliadb,706,2022-04-05,52538,50k–100k,493,52538,0.9404,0.6038,0.3554,0.5802,172
google/pyglove,694,2022-05-12,66080,50k–100k,221,66080,0.6575,0.3706,0.0514,0.316,1068
Skylark0924/Rofunc,666,2022-06-08,104766,100k–150k,501,104766,0.1736,0.081,0.0057,0.0587,53
PaddlePaddle/PaddleYOLO,645,2022-07-13,52912,50k–100k,206,52912,0.0012,0.0013,0.0,0.0004,0
jtl1207/comic-translation,630,2022-03-02,92470,50k–100k,233,92470,0.0157,0.0111,0.0006,0.0051,0
PaddlePaddle/Paddle3D,626,2022-07-14,66940,50k–100k,437,66940,0.1767,0.1203,0.0014,0.1062,13
FoundationVision/VNext,615,2022-07-19,54738,50k–100k,368,54738,0.212,0.0897,0.0039,0.0834,41
augmentedstartups/AS-One,614,2022-10-31,63609,50k–100k,426,63609,0.0259,0.0186,0.0001,0.0117,0
opendilab/InterFuser,601,2022-07-22,66670,50k–100k,303,66670,0.046,0.0218,0.0055,0.0143,23
ViTAE-Transformer/ViTDet,576,2022-04-16,79349,50k–100k,961,79349,0.0013,0.0,0.0,0.0,0
salesforce/CodeRL,550,2022-06-30,302905,300k–350k,747,302905,0.2583,0.1439,0.0479,0.1149,199
pymc-devs/pytensor,550,2022-11-03,106605,100k–150k,281,106605,0.1683,0.1049,0.0266,0.0814,86
