repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
jupyter-incubator/sparkmagic,1363,2015-09-21,5930,86,5930,0.0,0.0,0.0,0.0,0
xmikos/qspectrumanalyzer,1355,2015-03-02,2879,27,2879,0.0,0.0,0.0,0.0,0
aio-libs/aiobotocore,1347,2015-05-31,5768,35,5768,0.0337,0.015,0.0101,0.015,3
yadayada/acd_cli,1342,2015-04-06,4198,28,4198,0.5069,0.4461,0.0,0.2665,0
frol/flask-restplus-server-example,1339,2015-11-18,4018,67,4018,0.0,0.0,0.0,0.0,0
521xueweihan/python,1338,2015-05-08,1651,74,1651,0.0,0.0,0.0,0.0,0
jmathai/elodie,1315,2015-09-09,2783,32,2783,0.0,0.0,0.0,0.0,0
hvac/hvac,1288,2015-05-05,16440,68,16440,0.0103,0.0,0.0,0.0,5
whipper-team/whipper,1287,2015-04-08,5997,49,5997,0.0047,0.0059,0.0,0.0059,0
iskandr/fancyimpute,1276,2015-11-05,1853,15,1853,0.0,0.0,0.0,0.0,0
entropy1337/infernal-twin,1271,2015-02-07,5183,53,5183,0.0,0.0,0.0,0.0,0
eralchemy/eralchemy,1265,2015-04-29,1084,8,1084,0.4516,0.6211,0.0446,0.5789,6
d4nj1/TLPUI,1260,2015-05-02,1685,29,1685,0.82,0.5701,0.0,0.4206,0
do-mpc/do-mpc,1253,2015-05-20,10422,62,10422,0.4557,0.3187,0.0795,0.283,0
stanfordjournalism/search-script-scrape,1238,2015-06-07,1212,103,1212,0.0,0.0,0.0,0.0,0
canonical/snapcraft,1230,2015-10-29,43859,358,43859,0.6996,0.7357,0.1564,0.6941,318
linkedin/luminol,1224,2015-11-18,1838,26,1838,0.0,0.0,0.0,0.0,0
ValvePython/steam,1220,2015-07-05,131460,117,131460,0.0,0.0,0.0,0.0,0
istresearch/scrapy-cluster,1219,2015-04-14,6403,58,6403,0.0,0.0,0.0,0.0,0
brainix/pottery,1209,2015-06-10,3766,21,3766,1.0,1.0,0.15,1.0,41
fbchat-dev/fbchat,1205,2015-04-18,4420,29,4420,0.3488,0.2873,0.0,0.2727,8
python-escpos/python-escpos,1204,2015-03-17,4144,22,4144,0.638,0.7773,0.4403,0.6825,6
EDCD/EDMarketConnector,1195,2015-06-02,16810,51,16810,0.8221,0.8464,0.2153,0.721,148
s3ql/s3ql,1194,2015-07-12,12649,49,12649,0.1862,0.0367,0.0127,0.0293,12
google/textfsm,1192,2015-06-23,2301,6,2301,0.0483,0.0813,0.0,0.0688,0
spatialaudio/python-sounddevice,1186,2015-06-20,2684,4,2684,0.0,0.0,0.0,0.0,0
laramies/metagoofil,1170,2015-08-13,54727,228,54727,0.0,0.0,0.0,0.0,0
cmsis-svd/cmsis-svd,1158,2015-06-11,1780,7,1780,0.8214,0.9032,1.0863,0.871,8
BitBotFactory/MikaLendingBot,1149,2015-06-17,2703,22,2703,0.0,0.0,0.0,0.0,0
ring04h/weakfilescan,1143,2015-04-02,13990,96,13990,0.0,0.0,0.0,0.0,0
jkehler/awslambda-psycopg2,1142,2015-10-22,26402,119,26402,0.0,0.0,0.0,0.0,0
tdamdouni/Pythonista,1131,2015-12-17,328947,3706,328947,0.0,0.0002,0.0,0.0002,0
DoTheEvo/ANGRYsearch,1128,2015-01-21,19075,6,19075,0.0,0.0,0.0,0.0,0
selfboot/LeetCode,1126,2015-09-14,9802,291,9802,0.0,0.0,0.0,0.0,0
nats-io/nats.py,1118,2015-12-28,6956,23,6956,0.8449,0.8202,0.4484,0.7236,46
rasguanabana/ytfs,1114,2015-07-05,1490,8,1490,0.0,0.0,0.0,0.0,0
whyliam/whyliam.workflows.youdao,1112,2015-05-05,35209,84,35209,0.4419,0.4187,0.0909,0.4187,54
Quitten/Autorize,1110,2015-02-13,2940,17,2940,0.0,0.0,0.0,0.0,0
Nextdoor/ndscheduler,1109,2015-07-30,2140,43,2140,0.0,0.0,0.0,0.0,0
Qirky/FoxDot,1108,2015-08-30,17419,96,17419,0.0,0.0,0.0,0.0,0
weewx/weewx,1107,2015-02-17,38691,90,38691,0.0009,0.0005,0.0,0.0005,0
JPaulMora/Pyrit,1104,2015-09-24,4842,12,4842,0.0,0.0,0.0,0.0,0
YosysHQ/icestorm,1101,2015-07-18,26808,48,26808,0.0,0.0,0.0,0.0,0
myhdl/myhdl,1100,2015-02-07,9032,40,9032,0.0,0.0,0.0,0.0,0
nikitasrivatsan/DeepLearningVideoGames,1093,2015-11-03,1164,6,1164,0.0,0.0,0.0,0.0,0
artisan-roaster-scope/artisan,1086,2015-03-13,103953,121,103953,0.9976,0.9955,0.2896,0.9955,182
akelleh/causality,1076,2015-05-26,1023,12,1023,0.0,0.0,0.0,0.0,0
kelvins/algorithms-and-data-structures,1075,2015-04-30,3187,59,3187,0.0755,0.1237,0.0,0.1201,0
angr/angr-management,1066,2015-08-09,37849,270,37849,0.4952,0.7691,0.1505,0.5135,115
DataDog/integrations-core,1063,2015-12-01,185214,2750,185214,0.0911,0.0859,0.561,0.0813,764
spyder-ide/qtpy,1061,2015-05-02,2480,68,2480,0.0333,0.0213,0.0357,0.0213,0
alessandro-zomparelli/tissue,1048,2015-07-01,13905,17,13905,0.0,0.0,0.1443,0.0,0
MatthewJA/Inverse-Reinforcement-Learning,1039,2015-10-23,1126,9,1126,0.0,0.0,0.0,0.0,0
andrea-cuttone/geoplotlib,1037,2015-02-24,2111,6,2111,0.0,0.0,0.0,0.0,0
TomasTomecek/sen,1034,2015-09-25,3958,39,3958,0.0,0.0,0.0,0.0,0
hail-is/hail,1032,2015-10-27,116299,563,116299,0.3962,0.3058,0.0542,0.2291,224
J535D165/recordlinkage,1028,2015-10-18,6116,40,6116,0.0,0.0,0.0,0.0,0
python-hyper/h2,1020,2015-06-24,4677,12,4677,0.9113,0.9619,0.1564,0.9364,8
sentinelsat/sentinelsat,1009,2015-05-22,2457,9,2457,0.0095,0.0,0.0032,0.0,1
minio/minio-py,998,2015-06-17,11193,28,11193,0.9685,0.642,0.2553,0.642,5
neo4j/neo4j-python-driver,997,2015-05-05,33549,140,33549,0.3008,0.4169,0.1132,0.3886,119
K3D-tools/K3D-jupyter,995,2015-10-16,53096,42,53096,0.8612,0.5,0.007,0.5,84
EnableSecurity/sipvicious,993,2015-03-13,3292,10,3292,0.0,0.0,0.0,0.0,0
aliyun/aliyun-oss-python-sdk,991,2015-12-05,17444,34,17444,0.0,0.0,0.0,0.0,0
CacheBrowser/cachebrowser,981,2015-11-03,1774,27,1774,0.0,0.0,0.0,0.0,0
firewalld/firewalld,973,2015-03-11,28394,60,28394,0.0005,0.0,0.0155,0.0,0
python-semantic-release/python-semantic-release,969,2015-07-27,8564,60,8564,1.0,1.0,0.4317,1.0,35
pydot/pydot,968,2015-04-13,2501,7,2501,0.6115,0.6381,0.0195,0.6333,58
kelvinxu/arctic-captions,965,2015-05-06,1651,9,1651,0.0,0.0,0.0,0.0,0
dropbox/dropbox-sdk-python,964,2015-06-12,122366,34,122366,0.0,0.0,0.0,0.0,0
borisbabic/browser_cookie3,963,2015-04-26,1220,3,1220,0.1497,0.0225,0.0,0.0112,0
gabrieleangeletti/Deep-Learning-TensorFlow,961,2015-08-17,3528,43,3528,0.0,0.0,0.0,0.0,0
wikipedia2vec/wikipedia2vec,954,2015-10-26,2970,24,2970,0.9135,0.5146,0.0649,0.5146,8
SimplySecurity/SimplyEmail,953,2015-10-30,4592,43,4592,0.0,0.0,0.0,0.0,0
baidu/CUP,952,2015-02-28,13637,66,13637,0.0075,0.0034,0.0036,0.0034,0
RicterZ/nhentai,939,2015-04-19,1430,10,1430,0.0446,0.0758,0.0033,0.0152,0
scrapinghub/extruct,933,2015-10-26,1134,14,1134,0.1301,0.0448,0.0376,0.0448,9
Lasagne/Recipes,927,2015-05-21,2229,21,2229,0.0,0.0,0.0,0.0,0
pypa/setuptools-scm,926,2015-07-01,7745,60,7745,1.0,0.9982,0.111,0.9982,33
Phylliade/ikpy,926,2015-09-22,1744,20,1744,0.0398,0.0,0.0,0.0,0
DataBiosphere/toil,919,2015-03-30,53318,152,53318,0.8361,0.7838,0.1597,0.7689,334
jorisroovers/gitlint,916,2015-09-02,3222,36,3222,0.1639,0.1083,0.0862,0.1083,10
tarpas/pytest-testmon,915,2015-02-02,2093,9,2093,0.0913,0.1402,0.0989,0.0793,0
JimmXinu/FanFicFare,915,2015-04-01,112611,381,112611,0.0,0.0,0.0,0.0,0
honeynet/droidbot,911,2015-06-09,8189,39,8189,0.0,0.0,0.0,0.0,0
mittagessen/kraken,901,2015-05-19,13936,64,13936,0.4838,0.4332,0.0414,0.3761,33
spyder-ide/qtawesome,897,2015-03-04,1804,9,1804,0.0111,0.0,0.0067,0.0,0
bilelmoussaoui/Hardcode-Tray,895,2015-04-08,2606,32,2606,0.0,0.0,0.0,0.0,0
mocobeta/janome,893,2015-02-14,1964,16,1964,0.1797,0.1172,0.0062,0.1103,5
DennisMitchell/jellylanguage,891,2015-12-04,251400,7,251400,0.0,0.0,0.0,0.0,0
django-admin-tools/django-admin-tools,887,2015-06-20,3232,71,3232,0.0,0.0,0.0,0.0,0
kuba/simp_le,885,2015-11-15,1307,4,1307,0.0,0.0,0.0,0.0,0
aws-samples/machine-learning-samples,881,2015-03-24,1737,19,1737,0.0,0.0,0.0,0.0,0
myquant/strategy,879,2015-11-20,7156,44,7156,0.0,0.0,0.0,0.0,0
zacharski/pg2dm-python,878,2015-07-01,3912,31,3912,0.0,0.0,0.0,0.0,0
phaethon/kamene,871,2015-01-29,43192,119,43192,0.0,0.0,0.0,0.0,0
mila-iqia/fuel,871,2015-02-12,7322,72,7322,0.0,0.0,0.0,0.0,0
billpmurphy/hask,871,2015-07-28,7184,30,7184,0.0,0.0,0.0,0.0,0
twisted/towncrier,868,2015-12-27,1694,19,1694,0.8883,0.8404,0.1411,0.8404,15
pymanopt/pymanopt,862,2015-11-02,4942,40,4942,0.0795,0.0278,0.0173,0.0107,4
CaringCaribou/caringcaribou,854,2015-03-31,5389,21,5389,0.0078,0.0136,0.0,0.0136,0
ausaki/subfinder,853,2015-12-17,1893,19,1893,0.0278,0.0157,0.0,0.0,0
gusibi/python-weixin,852,2015-03-16,2379,18,2379,0.0,0.0,0.0,0.0,0
ionelmc/python-hunter,849,2015-03-16,2969,12,2969,0.0,0.0,0.0096,0.0,0
SeldomQA/seldom,843,2015-07-15,9284,99,9284,0.6127,0.4372,0.0018,0.3593,35
googlefonts/fontmake,843,2015-12-07,2248,8,2248,0.0167,0.0167,0.0,0.0167,0
AltSchool/dynamic-rest,842,2015-03-05,3952,33,3952,0.0,0.0,0.0,0.0,0
stratosphereips/StratosphereLinuxIPS,838,2015-12-08,36374,241,36374,0.4098,0.2658,0.3157,0.196,32
google/capirca,835,2015-08-04,20096,57,20096,0.0474,0.0086,0.0117,0.0086,3
ynsta/steamcontroller,834,2015-10-28,2293,17,2293,0.0,0.0,0.0,0.0,0
vollib/vollib,831,2015-04-03,2320,19,2320,0.0,0.0,0.0,0.0,0
metabrainz/listenbrainz-server,823,2015-09-05,46348,461,46348,0.3168,0.1566,0.0925,0.0982,33
mhallsmoore/qsforex,822,2015-01-27,1445,25,1445,0.0,0.0,0.0,0.0,0
amsehili/auditok,822,2015-09-17,4214,12,4214,0.0,0.0,0.0129,0.0,0
Rapptz/RoboDanny,819,2015-12-19,18579,40,18579,0.9528,0.5342,0.2786,0.5227,145
zentralopensource/zentral,819,2015-10-20,78675,963,78675,0.0,0.0,0.0007,0.0,0
njouanin/hbmqtt,817,2015-05-26,4401,43,4401,0.3348,0.0567,0.0,0.0369,0
WithSecureOpenSource/see,816,2015-10-26,2530,31,2530,0.0,0.0,0.0,0.0,0
GoogleCloudPlatform/getting-started-python,811,2015-08-06,1200,24,1200,0.0,0.0,0.0,0.0,0
alpha-miner/Finance-Python,811,2015-08-19,2028,39,2028,0.0,0.0,0.0,0.0,0
pfalcon/picotui,810,2015-07-19,1597,15,1597,0.0,0.0,0.0,0.0,0
hardmaru/sketch-rnn,810,2015-12-28,1034,8,1034,0.0,0.0,0.0,0.0,0
Idein/py-videocore,808,2015-11-08,2035,9,2035,0.0,0.0,0.0,0.0,0
HariSekhon/DevOps-Python-tools,806,2015-10-27,13809,125,13809,0.0,0.0,0.0,0.0,0
davidemms/OrthoFinder,804,2015-06-29,11982,37,11982,0.0006,0.0,0.0003,0.0,0
Bachmann1234/diff_cover,799,2015-01-07,3031,17,3031,0.0104,0.0132,0.0,0.0132,0
TravisFSmith/SweetSecurity,792,2015-09-10,3236,33,3236,0.0,0.0,0.0,0.0,0
Axelrod-Python/Axelrod,789,2015-02-18,17304,92,17304,0.5636,0.5405,0.0033,0.5205,16
ntucllab/libact,788,2015-12-06,3566,39,3566,0.0,0.0,0.0,0.0,0
swapniljariwala/nsepy,787,2015-09-02,1188,15,1188,0.0,0.0,0.0,0.0,0
DinoTools/dionaea,777,2015-12-21,26011,90,26011,0.0067,0.0031,0.0011,0.0031,0
n1nj4sec/memorpy,777,2015-05-23,1417,17,1417,0.0,0.0,0.0,0.0,0
coreemu/core,775,2015-07-17,30203,161,30203,0.9647,0.9609,0.3862,0.9517,71
google/turbinia,775,2015-09-15,28721,232,28721,0.2446,0.2035,0.0344,0.1255,37
pychess/pychess,773,2015-02-02,64480,282,64480,0.0005,0.0003,0.0,0.0003,0
conda-forge/staged-recipes,764,2015-09-02,1393,6,1393,0.0236,0.0,0.0,0.0,0
cbyn/bitpredict,762,2015-08-18,1019,14,1019,0.0,0.0,0.0,0.0,0
internetarchive/brozzler,756,2015-07-13,5851,18,5851,0.0209,0.0379,0.0,0.0038,0
muatik/flask-profiler,756,2015-10-05,1114,8,1114,0.0,0.0,0.0,0.0,0
pytest-dev/pytest-html,753,2015-04-14,2971,15,2971,0.0741,0.05,0.0,0.05,0
jeongyoonlee/Kaggler,752,2015-01-28,2729,22,2729,0.0029,0.0,0.0,0.0,0
Kkevsterrr/backdoorme,751,2015-10-09,19258,159,19258,0.0,0.0,0.0,0.0,0
gprMax/gprMax,751,2015-09-30,12178,50,12178,0.0,0.0,0.0,0.0,0
lmco/laikaboss,749,2015-06-12,5411,39,5411,0.0,0.0,0.0,0.0,0
xlwings/jsondiff,746,2015-10-19,1095,4,1095,0.0059,0.0345,0.0,0.0172,0
javrasya/django-river,743,2015-07-23,2059,62,2059,0.0,0.0,0.0,0.0,0
bastibe/SoundCard,741,2015-11-19,2382,11,2382,0.0,0.0,0.0,0.0,0
SAML-Toolkits/python3-saml,740,2015-08-14,4967,30,4967,0.0,0.0,0.0,0.0,0
BioPandas/biopandas,739,2015-11-21,4274,15,4274,0.2154,0.1163,0.0293,0.1163,2
dbrattli/OSlash,738,2015-03-08,3190,25,3190,0.6014,0.6952,0.0106,0.6575,21
ant4g0nist/lisa.py,735,2015-01-21,5453,3,5453,0.0713,0.087,0.0656,0.087,30
itdxer/neupy,735,2015-08-24,13509,93,13509,0.0,0.0,0.0,0.0,0
psy0rz/zfs_autobackup,729,2015-10-28,2855,22,2855,0.0,0.0,0.0,0.0,0
omriher/CapTipper,723,2015-01-13,10622,45,10622,0.0,0.0,0.0,0.0,0
open-io/oio-sds,722,2015-03-13,62412,300,62412,0.0115,0.007,0.0022,0.0047,15
MycroftAI/adapt,722,2015-09-08,1508,13,1508,0.0,0.0,0.0,0.0,0
yashaka/selene,722,2015-04-17,9858,54,9858,0.6728,0.4872,0.3676,0.4359,30
Capgemini/Apollo,721,2015-03-08,17416,1,17416,0.0,0.0,0.0,0.0,0
pytest-dev/pyfakefs,714,2015-03-16,9582,37,9582,0.6961,0.5912,0.0984,0.5855,38
cloudtools/stacker,709,2015-01-06,7836,68,7836,0.0,0.0,0.0,0.0,0
Brobin/django-seed,706,2015-04-20,1081,14,1081,0.0755,0.0123,0.0,0.0,0
PowerScript/KatanaFramework,706,2015-02-27,111171,550,111171,0.0,0.0,0.0,0.0,0
titipata/pubmed_parser,704,2015-03-05,1969,8,1969,0.0,0.0,0.0,0.0,0
scikit-video/scikit-video,704,2015-12-09,4570,37,4570,0.0,0.0,0.0,0.0,0
pyRiemann/pyRiemann,703,2015-04-19,13042,37,13042,0.0,0.0,0.0,0.0,0
gouthambs/Flask-Blogging,702,2015-05-27,2044,12,2044,0.0,0.0,0.0,0.0,0
comictagger/comictagger,701,2015-01-23,41347,110,41347,0.9899,0.9895,0.3073,0.9869,125
jpmml/sklearn2pmml,699,2015-11-10,3465,35,3465,0.0,0.0,0.0,0.0,0
b12io/orchestra,699,2015-09-16,12231,236,12231,0.0,0.0,0.0,0.0,0
flatironinstitute/CaImAn,696,2015-08-06,30400,73,30400,0.1303,0.188,0.0069,0.0916,28
ipython/ipykernel,695,2015-04-09,6793,47,6793,0.1109,0.0786,0.0673,0.0688,42
ipfs-shipyard/py-ipfs-http-client,688,2015-09-04,5226,29,5226,0.91,0.6224,0.1509,0.6224,49
uqfoundation/multiprocess,686,2015-06-20,65647,256,65647,0.001,0.0003,0.0,0.0003,0
baderj/domain_generation_algorithms,678,2015-08-31,3709,68,3709,0.0926,0.0657,0.0,0.0606,0
naftaliharris/tauthon,678,2015-11-08,332958,1418,332958,0.0,0.0,0.0,0.0,0
RealHacker/python-gems,675,2015-08-09,3222,36,3222,0.0,0.0,0.0,0.0,0
tmr232/Sark,669,2015-01-19,4130,33,4130,0.0158,0.0168,0.0037,0.0135,0
RealHacker/leetcode-solutions,667,2015-07-25,10099,385,10099,0.0,0.0,0.0,0.0,0
AnasAboreeda/Penetration-Testing-Study-Notes,666,2015-11-02,4739,28,4739,0.0,0.0,0.0,0.0,0
Psyop/Cryptomatte,664,2015-10-07,2901,5,2901,0.0,0.0,0.0,0.0,0
eggnogdb/eggnog-mapper,663,2015-08-17,6706,64,6706,0.0,0.0,0.0,0.0,0
APSL/puput,657,2015-07-28,1170,32,1170,0.0,0.0,0.0,0.0,0
dmnfarrell/pandastable,656,2015-03-16,12935,25,12935,0.0,0.0013,0.0,0.0013,0
OWASP/ZSC,655,2015-05-18,21621,161,21621,0.0,0.0,0.0,0.0,0
j-bennet/wharfee,655,2015-04-16,4011,20,4011,0.0,0.0,0.0,0.0,0
iipeace/guider,654,2015-11-16,135972,13,135972,0.0,0.0,0.0,0.0,0
soravux/scoop,653,2015-03-22,6158,42,6158,0.0,0.0,0.0,0.0,0
nchammas/flintrock,649,2015-06-04,3752,15,3752,0.4589,0.1761,0.0,0.1698,0
UKPLab/deeplearning4nlp-tutorial,649,2015-10-01,4840,56,4840,0.0,0.0,0.0,0.0,0
DataDog/datadogpy,647,2015-01-27,9316,84,9316,0.0,0.0,0.0,0.0,0
scikit-tda/kepler-mapper,643,2015-08-20,2736,13,2736,0.0,0.0,0.0,0.0,0
gregversteeg/corex_topic,640,2015-10-16,1074,4,1074,0.0,0.0,0.0,0.0,0
MozillaSecurity/funfuzz,637,2015-07-08,4426,38,4426,0.0,0.0,0.0,0.0,0
anaconda/nb_conda_kernels,636,2015-12-10,2783,8,2783,0.8043,0.7375,0.0749,0.7375,42
pklaus/brother_ql,635,2015-12-12,1865,24,1865,0.0,0.0,0.0,0.0,0
joschu/cgt,634,2015-08-25,8923,24,8923,0.0,0.0,0.0,0.0,0
PlasmaPy/PlasmaPy,632,2015-11-24,35161,119,35161,0.5691,0.5892,0.0242,0.4986,61
asweigart/my_first_tic_tac_toe,631,2015-11-12,9815,3,9815,0.0,0.0,0.0,0.0,0
Project-Platypus/Platypus,628,2015-10-09,7498,22,7498,0.0,0.0,0.0,0.0,0
RedSiege/Just-Metadata,628,2015-06-10,2233,30,2233,0.0,0.0,0.0,0.0,0
opensanctions/opensanctions,625,2015-12-05,47250,475,47250,0.8806,0.5875,0.0513,0.5683,224
fcavallarin/htcap,623,2015-06-25,5599,56,5599,0.0,0.0,0.0,0.0,0
fritzsedlazeck/Sniffles,622,2015-10-25,4589,19,4589,0.338,0.3913,0.2436,0.313,2
mitre/multiscanner,622,2015-04-13,9079,72,9079,0.0,0.0,0.0,0.0,0
enjoy-digital/litepcie,620,2015-09-07,6586,36,6586,0.0,0.0,0.0,0.0,0
nyu-dl/dl4mt-tutorial,618,2015-07-01,5264,27,5264,0.0,0.0,0.0,0.0,0
egtwobits/mesh_mesh_align_plus,616,2015-12-20,15442,17,15442,0.0,0.0,0.033,0.0,0
jarvisteach/appJar,615,2015-07-31,15102,12,15102,0.0,0.0,0.0,0.0,0
FreeOpcUa/opcua-client-gui,615,2015-09-26,4510,15,4510,0.0,0.0,0.0,0.0,0
junzis/pyModeS,614,2015-03-17,4791,40,4791,0.6255,0.7214,0.0444,0.6418,1
sotelo/parrot,611,2015-06-17,4051,15,4051,0.0,0.0,0.0,0.0,0
bjodah/chempy,611,2015-05-25,12787,78,12787,0.0,0.0015,0.0,0.0015,0
muodov/kociemba,610,2015-06-06,1601,14,1601,0.0,0.0,0.0,0.0,0
sixty-north/cosmic-ray,610,2015-04-18,3081,54,3081,0.0751,0.0388,0.0538,0.0043,1
romanz/trezor-agent,609,2015-06-06,4352,43,4352,0.0047,0.006,0.0,0.006,0
google/openhtf,608,2015-08-28,18566,71,18566,0.3927,0.4569,0.0072,0.4202,134
tlsfuzzer/tlsfuzzer,601,2015-01-08,81856,366,81856,0.0,0.0,0.0,0.0,0
faucetsdn/faucet,600,2015-09-25,29851,67,29851,0.0,0.0,0.0,0.0,0
feldroy/air,599,2015-12-11,8728,38,8728,0.9972,0.9298,0.2824,0.9181,65
nolze/msoffcrypto-tool,598,2015-09-29,3594,19,3594,0.0494,0.0063,0.0086,0.0063,0
yahoo/redislite,597,2015-03-03,1270,7,1270,0.0,0.0,0.0,0.0,0
spotify/postgresql-metrics,597,2015-08-26,1067,9,1067,0.0,0.0,0.0,0.0,0
rhinstaller/anaconda,595,2015-02-02,73445,579,73445,0.0979,0.0941,0.0014,0.0922,2
idanr1986/cuckoo-droid,594,2015-03-18,54914,160,54914,0.0,0.0,0.0,0.0,0
man-group/pytest-plugins,594,2015-08-14,4100,48,4100,0.0036,0.0069,0.0,0.0069,0
jcmgray/quimb,594,2015-12-09,72260,87,72260,0.0058,0.0011,0.0,0.0004,0
ljean/modbus-tk,592,2015-04-17,2672,16,2672,0.0,0.0,0.0,0.0,0
adamchainz/django-mysql,589,2015-02-05,3953,35,3953,1.0,0.993,0.0465,0.993,154
joblib/loky,588,2015-12-25,3159,21,3159,0.0,0.0,0.0,0.0,0
haiwen/seafile-docker,587,2015-03-20,12227,46,12227,0.0,0.0,0.0,0.0,0
pyparallel/pyparallel,586,2015-07-25,251847,931,251847,0.0,0.0,0.0,0.0,0
timothycrosley/jiphy,586,2015-04-14,1531,9,1531,0.0,0.0,0.0,0.0,0
jupyterhub/kubespawner,585,2015-11-21,5026,10,5026,0.1244,0.0261,0.0,0.0261,0
ArduPilot/ardupilot_wiki,585,2015-01-08,3420,21,3420,0.1535,0.145,0.0139,0.145,5
Backblaze/B2_Command_Line_Tool,583,2015-11-16,6554,32,6554,0.3814,0.3463,0.0177,0.2634,1
acoular/acoular,583,2015-01-23,13567,33,13567,0.0,0.0,0.0,0.0,0
n0bel/PiClock,582,2015-05-17,3033,11,3033,0.0,0.0,0.0,0.0,0
darxtrix/ptop,579,2015-07-04,1078,19,1078,0.0,0.0,0.0,0.0,0
josauder/procedural_city_generation,579,2015-07-20,3989,74,3989,0.0,0.0,0.0,0.0,0
rst2pdf/rst2pdf,579,2015-03-12,8866,41,8866,0.0,0.0,0.0,0.0,0
tox-dev/sphinx-autodoc-typehints,578,2015-09-21,1035,4,1035,1.0,1.0,0.0556,1.0,48
LockGit/Hacking,577,2015-08-09,1998,22,1998,0.0,0.0,0.0,0.0,0
cedricbonhomme/Stegano,577,2015-11-26,1057,20,1057,0.8281,0.5227,0.0421,0.5227,1
meraki-analytics/cassiopeia,574,2015-05-20,17183,90,17183,0.8924,0.8116,0.0052,0.8049,267
vsergeev/python-periphery,574,2015-06-15,3082,12,3082,0.0,0.0,0.0,0.0,0
hildogjr/KiCost,573,2015-07-02,7998,45,7998,0.0,0.0,0.0,0.0,0
alisaifee/limits,572,2015-01-08,4829,30,4829,0.9983,0.9715,0.1855,0.9687,12
rietveld-codereview/rietveld,571,2015-03-28,10205,29,10205,0.0,0.0,0.0,0.0,0
amietn/vcsi,569,2015-04-29,1513,2,1513,0.0206,0.0,0.0056,0.0,0
benanne/kaggle-ndsb,567,2015-03-25,10303,136,10303,0.0,0.0,0.0,0.0,0
hangoutsbot/hangoutsbot,567,2015-01-20,16172,123,16172,0.0,0.0,0.0,0.0,0
kurobeats/fimap,565,2015-03-27,7486,47,7486,0.0,0.0,0.0,0.0,0
zhengmin1989/ROP_STEP_BY_STEP,564,2015-06-11,1114,17,1114,0.0,0.0,0.0,0.0,0
altf4/SmashBot,563,2015-11-01,5152,60,5152,0.0,0.0,0.0,0.0,0
pylint-dev/astroid,560,2015-12-08,24133,98,24133,0.8756,0.7632,0.1613,0.7269,99
bonzanini/Book-SocialMediaMiningPython,559,2015-10-12,2024,65,2024,0.0,0.0,0.0,0.0,0
theotherp/nzbhydra,558,2015-11-03,304697,1083,304697,0.0,0.0,0.0,0.0,0
hltcoe/golden-horse,557,2015-08-13,2815,8,2815,0.0,0.0,0.0,0.0,0
mbj4668/pyang,556,2015-03-16,19349,55,19349,0.0005,0.0009,0.0,0.0009,0
opendatacube/datacube-core,556,2015-05-13,41748,192,41748,0.6393,0.8325,0.0842,0.5919,289
pimutils/todoman,555,2015-03-30,2435,9,2435,0.9561,1.0,0.094,0.9651,1
apragacz/django-rest-registration,554,2015-12-27,2969,58,2969,0.7923,0.8454,0.0402,0.8213,47
guokr/swagger-py-codegen,552,2015-05-14,1289,12,1289,0.0,0.0,0.0,0.0,0
opencomputeproject/SAI,551,2015-09-25,87994,56,87994,0.0192,0.0029,0.0015,0.0015,0
MJL85/natlas,550,2015-07-05,3493,24,3493,0.0,0.0,0.0,0.0,0
jupyter-server/kernel_gateway,549,2015-09-21,2550,31,2550,0.0753,0.1118,0.0445,0.0745,0
stringertheory/traces,549,2015-03-14,1600,9,1600,0.0,0.0,0.0,0.0,0
scrapinghub/spidermon,547,2015-11-17,5241,91,5241,0.0155,0.002,0.0,0.002,1
woodrush/neural-art-tf,546,2015-11-24,4827,6,4827,0.0,0.0,0.0,0.0,0
lgandx/Responder-Windows,545,2015-02-07,8119,52,8119,0.0,0.0,0.0,0.0,0
RussBaz/enforce,545,2015-09-27,1545,12,1545,0.097,0.084,0.0,0.0588,2
BeaEngine/beaengine,544,2015-01-04,1179,2,1179,0.0714,0.027,0.0,0.027,0
techfort/pycv,542,2015-04-03,3876,83,3876,0.0,0.0,0.0,0.0,0
panzarino/mlbgame,542,2015-11-02,1897,9,1897,0.0,0.0,0.0,0.0,0
dbpedia/fact-extractor,538,2015-03-09,3675,46,3675,0.0,0.0,0.0,0.0,0
testing-cabal/mock,538,2015-04-21,2746,6,2746,0.0079,0.0,0.0,0.0,0
jendrikseipp/rednotebook,537,2015-06-30,11817,46,11817,0.0027,0.0028,0.0,0.0014,0
williamhunter/topy,536,2015-09-11,1672,20,1672,0.0,0.0,0.0,0.0,0
enzet/map-machine,536,2015-07-27,6846,43,6846,0.9818,0.9767,2.6548,0.9622,41
canonical/subiquity,534,2015-06-08,35348,246,35348,0.2756,0.2679,0.1946,0.2348,71
Pepelux/sippts,534,2015-05-17,13823,27,13823,0.0,0.0,0.0,0.0,0
OffensivePython/Nscan,531,2015-01-30,1956,30,1956,0.0,0.0,0.0,0.0,0
jamesmawm/Mastering-Python-for-Finance-source-codes,531,2015-06-09,3141,71,3141,0.0,0.0,0.0,0.0,0
mclarkk/lifxlan,531,2015-07-07,4797,16,4797,0.0,0.0,0.0,0.0,0
