repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
ibis-project/ibis,6178,2015-04-17,69749,179,69749,0.3749,0.4283,0.1,0.3947,540
cowrie/cowrie,5948,2015-05-12,22110,176,22110,0.4736,0.5915,0.2255,0.5906,78
chainer/chainer,5906,2015-06-05,78310,545,78310,0.0155,0.0234,0.0,0.0232,21
pywinauto/pywinauto,5711,2015-05-25,37723,82,37723,0.0,0.0,0.0,0.0,0
python-attrs/attrs,5645,2015-01-27,5368,22,5368,0.1599,0.1416,0.1909,0.1239,16
pylint-dev/pylint,5590,2015-12-09,39404,183,39404,1.0,0.9958,0.1531,0.9958,89
commixproject/commix,5501,2015-03-20,19713,111,19713,0.0,0.0,0.0,0.0,0
erikbern/ann-benchmarks,5478,2015-05-28,6392,77,6392,0.2628,0.1867,0.0319,0.1793,24
elceef/dnstwist,5467,2015-06-11,1655,4,1655,0.0,0.0,0.0,0.0,0
karpathy/arxiv-sanity-preserver,5428,2015-11-28,1172,10,1172,0.0,0.0,0.0,0.0,0
trustedsec/ptf,5400,2015-05-12,3812,349,3812,0.0,0.0,0.0,0.0,0
achael/eht-imaging,5305,2015-09-22,37421,59,37421,0.0,0.0,0.0,0.0,0
donnemartin/saws,5296,2015-08-24,1985,24,1985,0.0,0.0,0.0,0.0,0
facebook/PathPicker,5202,2015-05-01,2012,20,2012,1.0,0.9543,0.0638,0.9543,0
LionSec/katoolin,5078,2015-08-21,1479,4,1479,0.0,0.0,0.0,0.0,0
lyst/lightfm,5020,2015-07-30,2051,12,2051,0.0,0.0,0.0,0.0,0
aws-cloudformation/aws-cloudformation-templates,5020,2015-12-08,3449,30,3449,0.3553,0.4059,0.0997,0.3663,9
google/pytype,5009,2015-03-18,78822,420,78822,0.2519,0.1689,0.0531,0.1467,157
Baekalfen/PyBoy,4997,2015-05-29,18201,58,18201,0.0053,0.0025,0.0,0.0,0
wkentaro/gdown,4935,2015-10-17,1084,9,1084,0.0256,0.0385,0.0,0.0,0
dschep/ntfy,4918,2015-12-17,1275,29,1275,0.0,0.0,0.0,0.0,0
python/typeshed,4900,2015-03-05,6032,118,6032,1.0,0.9974,0.5036,0.9974,42
pdfarranger/pdfarranger,4794,2015-10-21,6425,14,6425,0.0615,0.0622,0.0072,0.0553,1
ets-labs/python-dependency-injector,4652,2015-01-04,1374,10,1374,0.8488,0.8889,0.1207,0.8333,70
PyImageSearch/imutils,4579,2015-01-11,1189,43,1189,0.0,0.0,0.0,0.0,0
spec-first/connexion,4570,2015-05-19,7283,54,7283,0.5343,0.4079,0.0713,0.3632,53
motioneye-project/motioneye,4389,2015-08-30,10019,51,10019,0.0938,0.1181,0.0104,0.0728,12
Kinto/kinto,4381,2015-02-25,14235,96,14235,0.0,0.0,0.0,0.0,0
googlefonts/noto-emoji,4371,2015-06-05,3887,27,3887,0.005,0.0084,0.0,0.0084,0
miguelgrinberg/python-socketio,4270,2015-07-15,5820,31,5820,0.0,0.0,0.0,0.0,0
prometheus/client_python,4243,2015-02-10,4040,29,4040,0.6035,0.4733,0.0564,0.4733,11
Ulauncher/Ulauncher,4217,2015-05-10,5494,114,5494,0.879,0.9187,0.1583,0.9121,122
peterbrittain/asciimatics,4194,2015-04-15,10630,54,10630,0.8724,0.3407,0.0588,0.3393,23
ssut/py-googletrans,4179,2015-06-05,1083,7,1083,0.8986,0.6364,0.1321,0.6364,22
dynaconf/dynaconf,4167,2015-08-14,14129,359,14129,0.2147,0.1756,0.0357,0.0924,80
rocky/python-uncompyle6,4137,2015-12-13,25092,138,25092,0.1173,0.0574,0.003,0.0181,5
dabeaz/curio,4119,2015-10-11,4026,23,4026,0.0,0.0,0.0,0.0,0
joxeankoret/diaphora,4085,2015-03-20,111135,325,111135,0.0051,0.0035,0.0,0.0035,0
constverum/ProxyBroker,4057,2015-10-11,3052,14,3052,0.0,0.0,0.0,0.0,0
yosinski/deep-visualization-toolbox,4052,2015-04-25,3275,31,3275,0.0,0.0,0.0,0.0,0
donnemartin/haxor-news,4051,2015-11-16,3062,26,3062,0.0,0.0,0.0,0.0,0
ansible/molecule,4018,2015-11-18,8091,72,8091,0.9832,0.9878,0.2331,0.9878,34
nvdv/vprof,3971,2015-06-29,1179,10,1179,0.0,0.0,0.0,0.0,0
attardi/wikiextractor,3933,2015-03-22,1860,7,1860,0.0,0.0,0.0,0.0,0
lektor/lektor,3900,2015-12-19,12575,63,12575,0.2553,0.258,0.0607,0.2563,45
feeluown/FeelUOwn,3865,2015-06-25,24877,234,24877,0.1204,0.0678,0.0626,0.0443,28
flasgger/flasgger,3724,2015-07-27,1980,13,1980,0.0229,0.0275,0.0,0.0275,0
cuemacro/finmarketpy,3665,2015-02-19,8426,54,8426,0.2485,0.1884,0.0,0.186,0
Neo23x0/Loki,3664,2015-01-18,2083,10,2083,0.0,0.0,0.0,0.0,0
geex-arts/django-jet,3630,2015-07-29,3142,44,3142,0.0,0.0,0.0,0.0,0
Newmu/dcgan_code,3508,2015-11-23,1357,20,1357,0.0,0.0,0.0,0.0,0
holoviz/datashader,3469,2015-12-23,18527,54,18527,0.0041,0.0227,0.0008,0.0068,0
pyserial/pyserial,3448,2015-08-02,6600,30,6600,0.0,0.0,0.0,0.0,0
rbgirshick/fast-rcnn,3431,2015-04-01,1937,24,1937,0.0,0.0,0.0,0.0,0
makelove/OpenCV-Python-Tutorial,3413,2015-10-17,9954,249,9954,0.0,0.0,0.0003,0.0,0
jrfonseca/gprof2dot,3398,2015-03-13,2987,2,2987,0.0,0.0,0.0,0.0,0
piskvorky/smart_open,3379,2015-01-02,4810,42,4810,0.0065,0.0094,0.0116,0.0063,0
shelhamer/fcn.berkeleyvision.org,3342,2015-06-10,2054,39,2054,0.0,0.0,0.0,0.0,0
shidenggui/easyquant,3327,2015-12-20,1300,23,1300,0.0,0.0,0.0,0.0,0
linkedin/qark,3313,2015-06-26,2776,61,2776,0.0,0.0,0.0,0.0,0
yinkaisheng/Python-UIAutomation-for-Windows,3248,2015-06-23,11341,28,11341,0.7864,0.7589,0.0,0.6904,7
gwen001/pentest-tools,3246,2015-11-02,3826,13,3826,0.0,0.0,0.0,0.0,0
Just-Some-Bots/MusicBot,3240,2015-12-29,16493,23,16493,0.9976,0.9936,0.3003,0.9936,109
mhallsmoore/qstrader,3229,2015-12-04,5352,83,5352,0.0,0.0,0.0,0.0,0
cemoody/lda2vec,3170,2015-12-25,1354,11,1354,0.0,0.0,0.0,0.0,0
JuanPotato/Legofy,3170,2015-10-15,1814,7,1814,0.0,0.0,0.0,0.0,0
kizniche/Mycodo,3160,2015-02-05,92356,559,92356,0.0,0.0,0.0,0.0,0
vmware/photon,3134,2015-04-15,9390,34,9390,0.0786,0.0568,0.0058,0.0568,14
anishathalye/git-remote-dropbox,3110,2015-08-11,1062,9,1062,1.0,1.0,0.1294,1.0,12
beeware/briefcase,3107,2015-07-28,18265,76,18265,0.5731,0.3099,0.0638,0.2343,7
pydata/pandas-datareader,3107,2015-01-15,5807,47,5807,0.0,0.0,0.0,0.0,0
man-group/arctic,3084,2015-05-29,7886,65,7886,0.001,0.0038,0.0008,0.0019,0
robcarver17/pysystemtrade,3059,2015-11-27,69299,552,69299,0.6796,0.4625,0.019,0.4164,1
plasma-disassembler/plasma,3057,2015-03-09,12633,67,12633,0.0,0.0,0.0,0.0,0
fossasia/open-event-server,3003,2015-05-08,46692,957,46692,0.0439,0.0158,0.0112,0.013,5
arthepsy/ssh-audit,2985,2015-12-23,1651,1,1651,0.0,0.0,0.0,0.0,0
ryankiros/neural-storyteller,2968,2015-10-28,1067,6,1067,0.0,0.0,0.0,0.0,0
jliljebl/flowblade,2915,2015-04-01,73656,158,73656,0.0,0.0,0.0,0.0,0
TranscryptOrg/Transcrypt,2904,2015-12-13,24290,227,24290,0.009,0.0058,0.005,0.0058,0
virt-manager/virt-manager,2868,2015-05-22,39045,147,39045,0.0,0.0,0.0,0.0,0
Alexey-T/CudaText,2827,2015-09-22,170776,365,170776,0.4138,0.4396,0.0472,0.4396,109
ethereon/caffe-tensorflow,2797,2015-11-10,6234,13,6234,0.0,0.0,0.0,0.0,0
petercorke/robotics-toolbox-python,2794,2015-04-06,37240,156,37240,0.2655,0.1471,0.0038,0.1256,5
ekzhu/datasketch,2790,2015-03-20,4734,20,4734,0.336,0.3333,0.0097,0.2992,0
readbeyond/aeneas,2757,2015-05-11,22851,115,22851,0.0,0.0,0.0,0.0,0
gramps-project/gramps,2696,2015-01-07,254962,1116,254962,0.0304,0.0197,0.0033,0.0187,14
PowerDNS-Admin/PowerDNS-Admin,2693,2015-12-13,10414,71,10414,0.0,0.0,0.0006,0.0,0
batocera-linux/batocera.linux,2672,2015-12-07,27626,311,27626,0.5742,0.5603,0.1486,0.5556,45
thinkst/opencanary,2655,2015-08-05,5131,31,5131,0.0057,0.0034,0.0,0.0034,0
django/daphne,2590,2015-12-23,1775,16,1775,0.0379,0.0,0.0,0.0,0
prompt-toolkit/pyvim,2546,2015-01-24,2833,28,2833,0.0,0.0,0.0,0.0,0
EnterpriseDB/barman,2516,2015-08-17,34590,54,34590,0.0104,0.0055,0.0,0.0048,1
jazzband/Watson,2499,2015-03-17,2923,13,2923,0.0,0.0216,0.0,0.0072,0
ejwa/gitinspector,2486,2015-08-23,2155,32,2155,0.0,0.0,0.0,0.0,0
EntilZha/PyFunctional,2476,2015-02-05,3305,8,3305,0.6265,0.5502,0.0633,0.5019,19
Ericsson/codechecker,2470,2015-06-15,44871,389,44871,0.384,0.2469,0.0551,0.2171,22
coffeehb/Some-PoC-oR-ExP,2468,2015-03-13,7571,65,7571,0.0,0.0,0.0,0.0,0
scikit-learn-contrib/category_encoders,2466,2015-11-29,5151,26,5151,0.4325,0.4904,0.033,0.4331,2
bit-team/backintime,2454,2015-10-11,24868,84,24868,0.2458,0.1745,0.0,0.1651,11
pytest-dev/pytest-testinfra,2443,2015-03-15,4473,46,4473,0.6246,0.2151,0.0514,0.2151,70
SickChill/sickchill,2436,2015-11-13,45843,278,45843,0.0648,0.0455,0.0125,0.0381,5
ma1co/Sony-PMCA-RE,2435,2015-05-12,5089,55,5089,0.0,0.0,0.0,0.0,0
nvaccess/nvda,2409,2015-11-10,134397,524,134397,0.488,0.2917,0.0916,0.2811,120
fboender/ansible-cmdb,2404,2015-06-09,16245,72,16245,0.0,0.0,0.0,0.0,0
aboutcode-org/scancode-toolkit,2396,2015-07-01,63595,181,63595,0.0019,0.0,0.0054,0.0,0
napalm-automation/napalm,2386,2015-03-23,20590,56,20590,0.3758,0.3422,0.0143,0.3422,29
elapouya/python-docx-template,2372,2015-03-12,1228,8,1228,0.1,0.0769,0.0,0.0549,4
coin-or/pulp,2355,2015-03-15,9209,32,9209,0.1673,0.1052,0.0556,0.0972,24
graphistry/pygraphistry,2352,2015-06-02,34429,163,34429,0.7353,0.5438,0.1411,0.4854,432
lijiejie/BBScan,2349,2015-11-13,2318,25,2318,0.0,0.0,0.0,0.0,0
eclipse-paho/paho.mqtt.python,2347,2015-12-16,5168,12,5168,0.7399,0.7924,0.1026,0.7855,11
shuup/shuup,2338,2015-06-03,128355,1632,128355,0.0196,0.0176,0.0,0.0092,1
DidierStevens/DidierStevensSuite,2337,2015-05-08,149411,144,149411,0.0,0.0,0.0,0.0,0
virtio-win/virtio-win-pkg-scripts,2328,2015-02-13,2158,12,2158,0.0,0.0,0.0,0.0,0
rsennrich/subword-nmt,2252,2015-09-01,1266,14,1266,0.0,0.0,0.0,0.0,0
jtpereyda/boofuzz,2246,2015-11-26,16507,146,16507,0.0037,0.0,0.0,0.0,0
beancount/fava,2244,2015-12-04,8056,63,8056,1.0,1.0,0.3122,1.0,54
pypa/flit,2231,2015-03-13,4814,42,4814,0.1458,0.0576,0.0053,0.0412,3
wooey/Wooey,2201,2015-03-01,6112,113,6112,0.0,0.0,0.0,0.0,0
nschloe/meshio,2181,2015-11-10,11958,89,11958,0.1157,0.0646,0.0,0.031,0
buckyroberts/Source-Code-from-Tutorials,2177,2015-02-27,15113,160,15113,0.0,0.0,0.0,0.0,0
pannous/tensorflow-speech-recognition,2173,2015-12-07,2235,27,2235,0.0,0.0,0.0,0.0,0
deviantfero/wpgtk,2146,2015-12-21,1968,20,1968,0.0,0.0,0.0,0.0,0
cantools/cantools,2133,2015-04-26,13618,61,13618,0.4837,0.4449,0.0447,0.4449,15
olivierkes/manuskript,2111,2015-06-22,26484,177,26484,0.0059,0.0088,0.0,0.0065,0
Blazemeter/taurus,2087,2015-02-17,26881,82,26881,0.019,0.0158,0.0015,0.0119,1
invoice-x/invoice2data,2075,2015-04-09,2217,28,2217,1.0,1.0,0.0331,1.0,71
gpiozero/gpiozero,2066,2015-09-14,12821,29,12821,0.0,0.0,0.0,0.0,0
fugue/credstash,2063,2015-04-20,1130,5,1130,0.0,0.0,0.0,0.0,0
ryankiros/skip-thoughts,2052,2015-06-27,2855,26,2855,0.0,0.0,0.0,0.0,0
jorgebastida/gordon,2033,2015-10-17,3618,37,3618,0.0,0.0,0.0,0.0,0
veops/cmdb,2031,2015-12-29,22243,163,22243,0.0121,0.007,0.0,0.0021,0
Maratyszcza/PeachPy,2027,2015-01-26,19670,66,19670,0.0,0.0,0.0,0.0,0
elastic/rally,2013,2015-11-30,24829,91,24829,0.1953,0.1824,0.0366,0.1792,80
hhursev/recipe-scrapers,2013,2015-09-14,13505,544,13505,0.1399,0.0145,0.0048,0.0134,4
moses-palmer/pynput,2009,2015-10-15,6516,28,6516,0.0,0.0,0.0,0.0,0
fabiocaccamo/django-admin-interface,1991,2015-10-26,2122,42,2122,0.0,0.0,0.0,0.0,0
retext-project/retext,1989,2015-09-13,4421,21,4421,0.0086,0.003,0.0012,0.003,0
google/spatial-media,1986,2015-02-11,2011,16,2011,0.0,0.0,0.0,0.0,0
erocarrera/pefile,1983,2015-04-13,7276,7,7276,0.0133,0.008,0.0,0.008,0
ShawnDEvans/smbmap,1966,2015-03-16,1438,3,1438,0.0,0.0,0.0,0.0,0
srsudar/eg,1957,2015-03-05,1082,10,1082,0.0,0.0,0.0,0.0,0
timbrel/GitSavvy,1929,2015-01-18,22250,123,22250,0.1086,0.0998,0.0599,0.0828,2
yeti-platform/yeti,1920,2015-12-13,17994,255,17994,0.5412,0.3375,0.237,0.2803,10
pmaupin/pdfrw,1910,2015-05-30,2878,21,2878,0.0,0.0,0.0,0.0,0
jupyter/nbconvert,1884,2015-04-09,6206,74,6206,0.1954,0.1278,0.027,0.1278,41
Koed00/django-q,1879,2015-06-14,3687,42,3687,0.1575,0.1908,0.0,0.1679,0
ethereum/research,1871,2015-09-20,30504,250,30504,0.0529,0.0255,0.0081,0.0255,4
logpai/logparser,1858,2015-08-05,9729,123,9729,0.0667,0.0,0.0,0.0,0
liberapay/liberapay.com,1853,2015-05-22,17666,78,17666,0.0052,0.0076,0.0276,0.0033,0
rspivak/lsbasi,1848,2015-06-15,14251,65,14251,0.0,0.0,0.0,0.0,0
cloudpipe/cloudpickle,1847,2015-04-13,1047,4,1047,0.0,0.0,0.0,0.0,0
qiwsir/StarterLearningPython,1847,2015-02-23,3410,244,3410,0.0,0.0,0.0,0.0,0
axiros/terminal_markdown_viewer,1846,2015-07-12,2281,8,2281,0.0,0.0,0.0,0.0,0
aio-libs/aiomysql,1846,2015-01-07,3039,13,3039,0.0,0.0034,0.0,0.0034,0
O365/python-o365,1836,2015-02-18,16405,27,16405,0.2191,0.143,0.0331,0.1221,0
p4-team/ctf,1834,2015-09-22,52620,304,52620,0.0386,0.0338,0.0,0.0321,0
knownsec/Pocsuite,1822,2015-08-06,25080,169,25080,0.0,0.0,0.0,0.0,0
zarr-developers/zarr-python,1811,2015-12-15,28795,94,28795,1.0,1.0,0.2421,1.0,353
robinhood-unofficial/pyrh,1801,2015-05-04,2196,12,2196,0.3545,0.4167,0.0696,0.4167,25
django-tenants/django-tenants,1766,2015-06-09,6804,67,6804,0.0,0.0,0.0,0.0,0
damnever/pigar,1760,2015-09-30,108529,425,108529,0.5965,0.5785,0.0748,0.5742,296
Netflix/lemur,1759,2015-06-16,29220,251,29220,0.0044,0.0054,0.0037,0.0038,6
cpplint/cpplint,1753,2015-12-01,12091,3,12091,0.0383,0.0062,0.015,0.0062,0
trevorstephens/gplearn,1751,2015-03-26,2134,7,2134,0.0,0.0,0.0,0.0,0
zalando/spilo,1741,2015-04-17,2389,10,2389,0.0,0.0,0.0,0.0,0
arviz-devs/arviz,1739,2015-07-29,31197,126,31197,0.0596,0.0983,0.0034,0.0824,13
pytest-dev/pytest-xdist,1719,2015-09-01,6644,26,6644,1.0,0.9978,0.0798,0.9978,22
Yelp/paasta,1719,2015-10-26,59549,279,59549,0.6397,0.5691,0.1212,0.5503,221
agronholm/typeguard,1716,2015-12-27,2977,12,2977,1.0,0.9474,0.21,0.9474,124
mmin18/LayoutCast,1707,2015-08-04,2027,3,2027,0.0,0.0,0.0,0.0,0
LCAV/pyroomacoustics,1698,2015-12-24,18625,79,18625,0.0,0.0,0.0023,0.0,0
mpdavis/python-jose,1691,2015-04-20,2268,16,2268,0.0088,0.0146,0.0,0.0146,0
strob/gentle,1652,2015-10-23,1268,21,1268,0.0,0.0,0.0,0.0,0
dask/distributed,1651,2015-09-13,56458,177,56458,0.5277,0.4653,0.1931,0.4598,393
MontrealCorpusTools/Montreal-Forced-Aligner,1641,2015-10-26,45476,103,45476,0.7659,0.6932,0.0685,0.6528,42
galaxyproject/galaxy,1637,2015-02-23,325724,1587,325724,0.413,0.3194,0.1631,0.2509,1288
DrkSephy/django-hackathon-starter,1623,2015-05-08,2720,39,2720,0.0,0.0,0.0,0.0,0
nccgroup/Winpayloads,1604,2015-10-09,1603,19,1603,0.0,0.0,0.0,0.0,0
pyeventsourcing/eventsourcing,1604,2015-08-25,8595,27,8595,1.0,0.9053,0.2567,0.9053,177
django-commons/django-prometheus,1601,2015-04-05,1149,34,1149,0.0,0.0,0.0,0.0,0
jacebrowning/memegen,1600,2015-06-13,2905,29,2905,0.8007,0.5168,0.1275,0.443,0
quodlibet/quodlibet,1594,2015-03-14,75699,479,75699,0.0644,0.0472,0.0103,0.0404,26
django/asgiref,1588,2015-12-23,1381,11,1381,0.5221,0.439,0.875,0.439,19
boudinfl/pke,1584,2015-11-13,2191,25,2191,0.0,0.0,0.0,0.0,0
jivoi/pentest,1575,2015-04-03,16869,97,16869,0.0,0.0,0.0,0.0,0
maxpumperla/elephas,1574,2015-08-13,1463,23,1463,0.2772,0.0189,0.0,0.0126,0
pyrevitlabs/pyRevit,1566,2015-08-16,70252,620,70252,0.0154,0.0013,0.0,0.0009,0
XiphosResearch/exploits,1561,2015-03-05,2182,31,2182,0.0,0.0,0.0,0.0,0
jundongl/scikit-feature,1553,2015-11-06,2860,52,2860,0.0,0.0,0.0,0.0,0
fossasia/knitlib,1552,2015-05-23,2025,22,2025,0.0,0.0,0.0,0.0,0
fossasia/pslab-expeyes,1549,2015-06-09,4576,40,4576,0.0,0.0,0.0,0.0,0
scottslowe/learning-tools,1543,2015-02-05,5474,6,5474,0.0,0.0,0.0,0.0,0
ArchiveTeam/grab-site,1533,2015-02-05,1127,10,1127,0.1241,0.0652,0.0,0.0217,0
csvoss/onelinerizer,1529,2015-01-17,1033,8,1033,0.0,0.0,0.0,0.0,0
pytest-dev/pluggy,1528,2015-04-28,3493,20,3493,0.6465,0.6285,0.1824,0.5767,14
Rhizome-Conifer/conifer,1522,2015-05-13,13033,84,13033,0.0,0.0,0.0,0.0,0
p4lang/tutorials,1517,2015-09-30,4014,42,4014,0.0,0.0,0.0,0.0,0
CPJKU/madmom,1508,2015-09-08,18961,41,18961,0.0,0.0,0.0,0.0,0
chenriwei/DeepFace,1504,2015-11-12,1856,22,1856,0.0,0.0,0.0,0.0,0
pentestmonkey/windows-privesc-check,1503,2015-03-22,11809,48,11809,0.0,0.0,0.0,0.0,0
ring04h/wydomain,1483,2015-02-03,1027,19,1027,0.0,0.0,0.0,0.0,0
MDAnalysis/mdanalysis,1477,2015-04-04,120125,412,120125,0.0374,0.0154,0.003,0.0142,2
django-components/django-components,1465,2015-06-11,15289,92,15289,0.9698,0.9853,0.3277,0.9744,247
savio-code/fern-wifi-cracker,1461,2015-03-23,6788,33,6788,0.0,0.0,0.0,0.0,0
jkbrzt/cointrol,1460,2015-03-19,2055,34,2055,0.0189,0.0179,0.0,0.0089,0
watson-developer-cloud/python-sdk,1455,2015-09-18,64440,18,64440,0.8407,0.7543,0.0,0.7046,0
FreeOpcUa/python-opcua,1454,2015-02-20,216633,79,216633,0.0011,0.0015,0.0,0.0015,0
closeio/tasktiger,1446,2015-05-14,3788,23,3788,0.9636,0.9432,0.0878,0.9432,44
pvlib/pvlib-python,1426,2015-02-17,27314,67,27314,0.0008,0.0,0.0126,0.0,0
zhuinfo/Django-ERP,1425,2015-07-30,4694,74,4694,0.0,0.0,0.0,0.0,0
Cimbali/pympress,1414,2015-09-17,7111,22,7111,0.0,0.0,0.0,0.0,0
igraph/python-igraph,1409,2015-01-08,19347,79,19347,0.046,0.0507,0.0017,0.0433,3
jesparza/peepdf,1395,2015-04-13,17435,32,17435,0.0,0.0,0.0,0.0,0
belangeo/pyo,1390,2015-08-25,148845,58,148845,0.0,0.0,0.0,0.0,0
jaraco/keyring,1377,2015-02-24,1987,31,1987,0.2,0.2462,0.0361,0.241,2
Aiven-Open/pghoard,1375,2015-06-17,6856,32,6856,0.2708,0.2269,0.1039,0.1821,22
