repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
huashengdun/webssh,4977,2017-11-08,1018,10,1018,0.0,0.0,0.0,0.0,0
Instagram/MonkeyType,4946,2017-07-11,3055,19,3055,0.8011,0.7434,0.0736,0.7358,43
Bogdanp/dramatiq,4930,2017-05-30,5266,57,5266,0.3769,0.4355,0.1096,0.3966,23
amanusk/s-tui,4818,2017-04-09,2438,24,2438,0.0,0.0,0.0,0.0,0
quantumlib/Cirq,4749,2017-12-14,204097,1128,204097,0.7004,0.7084,0.0524,0.6367,849
LazoVelko/Pokemon-Terminal,4710,2017-04-18,1127,28,1127,0.42,0.2095,0.0,0.1959,0
pytorch/ignite,4708,2017-11-23,22501,156,22501,0.9919,0.9033,0.079,0.9033,435
Bitwise-01/Instagram-,4701,2017-01-29,1379,10,1379,0.3797,0.3371,0.1233,0.3258,0
dashingsoft/pyarmor,4686,2017-08-26,15732,61,15732,0.0042,0.0,0.0,0.0,0
weiaicunzai/pytorch-cifar100,4669,2017-04-22,3419,27,3419,0.0,0.0,0.0,0.0,0
RomelTorres/alpha_vantage,4641,2017-04-29,3442,26,3442,0.0128,0.0,0.0,0.0,0
OWASP/Nettacker,4548,2017-04-21,5208,57,5208,0.0034,0.019,0.0,0.0095,0
astorfi/TensorFlow-World,4508,2017-03-24,1255,22,1255,0.0,0.0,0.0,0.0,0
emissary-ingress/emissary,4470,2017-03-30,17715,98,17715,0.7877,0.7627,0.2451,0.6717,142
thunlp/OpenNRE,4429,2017-02-26,2883,35,2883,0.0,0.0,0.0,0.0,0
Kyubyong/transformer,4428,2017-06-17,1417,14,1417,0.0,0.0,0.0,0.0,0
has2k1/plotnine,4396,2017-04-24,31741,207,31741,0.6685,0.469,0.1675,0.4422,201
fizyr/keras-retinanet,4393,2017-08-14,5002,45,5002,0.0,0.0,0.0,0.0,0
OmkarPathak/pygorithm,4390,2017-07-31,9228,121,9228,0.0064,0.0032,0.0,0.0032,0
MorvanZhou/Tensorflow-Tutorial,4352,2017-05-10,1250,22,1250,0.0,0.0,0.0,0.0,0
layumi/Person_reID_baseline_pytorch,4351,2017-12-29,3400,31,3400,0.0558,0.0549,0.0023,0.033,0
google-deepmind/dm_control,4283,2017-12-29,46142,331,46142,0.0504,0.0278,0.0021,0.0259,18
Yelp/detect-secrets,4283,2017-12-05,6509,103,6509,0.9318,0.931,0.0647,0.931,77
RoganDawes/P4wnP1,4282,2017-02-22,3066,20,3066,0.0,0.0,0.0,0.0,0
qq547276542/Agriculture_KnowledgeGraph,4262,2017-11-25,22455,114,22455,0.0,0.0,0.0,0.0,0
jazzband/djangorestframework-simplejwt,4246,2017-05-05,1638,33,1638,0.7094,0.9375,0.0531,0.8125,25
jendrikseipp/vulture,4148,2017-03-06,1264,24,1264,0.0,0.0104,0.0579,0.0,0
ConsenSysDiligence/mythril,4135,2017-09-18,17226,164,17226,0.6039,0.5157,0.0719,0.4501,16
rytilahti/python-miio,4120,2017-03-05,27915,208,27915,0.5902,0.4455,0.1055,0.435,93
msracver/Deformable-ConvNets,4096,2017-05-05,26232,166,26232,0.0,0.0,0.0,0.0,0
kenshohara/3D-ResNets-PyTorch,4019,2017-09-14,3225,34,3225,0.0,0.0,0.0,0.0,0
thunlp/OpenKE,3986,2017-10-08,1972,31,1972,0.0,0.0,0.0,0.0,0
MichaelGrupp/evo,3977,2017-09-13,9487,42,9487,0.6964,0.6623,0.0158,0.6066,6
hunkim/PyTorchZeroToAll,3954,2017-10-04,1315,25,1315,0.0,0.0,0.0,0.0,0
snipsco/snips-nlu,3941,2017-02-08,9687,88,9687,0.0,0.0,0.0,0.0,0
andabi/deep-voice-conversion,3934,2017-10-16,1188,12,1188,0.0,0.0,0.0,0.0,0
jtesta/ssh-audit,3934,2017-09-19,5857,31,5857,1.0,1.0,0.0545,1.0,24
asottile/pyupgrade,3927,2017-02-28,4549,48,4549,1.0,1.0,0.0793,1.0,2
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3927,2017-07-13,216090,1413,216090,0.0578,0.0363,0.0018,0.0316,65
hwalsuklee/tensorflow-generative-model-collections,3921,2017-08-24,2514,16,2514,0.0,0.0,0.0,0.0,0
Sentdex/pygta5,3917,2017-04-05,5941,68,5941,0.0,0.0,0.0,0.0,0
mherrmann/fbs,3910,2017-12-15,2835,62,2835,0.0,0.0,0.0,0.0,0
yahoo/TensorFlowOnSpark,3870,2017-01-20,3476,15,3476,0.0,0.0,0.0,0.0,0
NTMC-Community/MatchZoo,3851,2017-06-08,9127,133,9127,0.639,0.325,0.0,0.2873,33
ikostrikov/pytorch-a2c-ppo-acktr-gail,3845,2017-08-22,1582,18,1582,0.0,0.0,0.0,0.0,0
absolute-quantum/cats-blender-plugin,3838,2017-11-14,30815,103,30815,0.0005,0.0,0.0,0.0,0
trailofbits/manticore,3804,2017-02-10,43752,99,43752,0.1169,0.1853,0.0579,0.0937,26
cornellius-gp/gpytorch,3783,2017-06-09,14649,158,14649,0.4656,0.4061,0.0072,0.3536,132
