repo,stars,created_at,loc_full,files_scanned,loc_scanned,sig_cov,ret_cov,var_cov,fully_annotated_ratio,any_count_total
d2l-ai/d2l-zh,73461,2017-08-23,8519,14,8519,0.0,0.0,0.0,0.0,0
python/cpython,69567,2017-02-10,305277,954,305277,0.0809,0.0872,0.0193,0.0862,82
deepfakes/faceswap,54629,2017-12-19,68726,251,68726,0.7029,0.7408,0.0923,0.7041,91
freqtrade/freqtrade,44034,2017-05-17,51138,334,51138,0.8514,0.6985,0.2572,0.6101,355
apachecn/ailearning,41625,2017-02-25,16732,138,16732,0.0,0.0,0.0,0.0,0
chubin/cheat.sh,40376,2017-05-07,4964,43,4964,0.009,0.0108,0.0,0.0108,1
ccxt/ccxt,39512,2017-05-14,460817,665,460817,0.5737,0.4711,0.0657,0.1397,733
facebookresearch/fairseq,31889,2017-08-29,85133,475,85133,0.2138,0.1036,0.0985,0.0801,84
yunjey/pytorch-tutorial,31871,2017-03-10,1339,21,1339,0.0,0.0,0.0,0.0,0
eriklindernoren/ML-From-Scratch,28878,2017-02-05,3590,46,3590,0.0,0.0,0.0,0.0,0
google/python-fire,27944,2017-02-21,7919,46,7919,0.0176,0.0122,0.0,0.0046,2
deepinsight/insightface,26870,2017-09-01,125705,872,125705,0.026,0.026,0.0052,0.023,10
KurtBestor/Hitomi-Downloader,26400,2017-11-26,10019,72,10019,0.0184,0.0341,0.0,0.0312,4
pydantic/pydantic,25576,2017-05-03,35912,109,35912,0.9913,0.9701,0.2641,0.9658,1322
matterport/Mask_RCNN,25386,2017-10-19,3280,7,3280,0.0,0.0,0.0,0.0,0
ArchiveBox/ArchiveBox,25280,2017-05-05,21343,349,21343,0.563,0.518,0.2022,0.4114,62
pypa/pipenv,25102,2017-01-20,148413,460,148413,0.5676,0.5716,0.0788,0.5669,331
junyanz/pytorch-CycleGAN-and-pix2pix,24624,2017-04-18,2902,36,2902,0.0143,0.0,0.0,0.0,0
pyg-team/pytorch_geometric,23057,2017-10-06,90566,680,90566,0.895,0.7463,0.0499,0.7164,688
Delgan/loguru,22971,2017-08-15,4548,19,4548,0.0281,0.0515,0.0,0.0429,0
onnx/onnx,19782,2017-09-07,18295,273,18295,0.3948,0.4531,0.0271,0.4368,89
ranaroussi/yfinance,19619,2017-05-21,8850,32,8850,0.1134,0.3975,0.0068,0.2919,0
Jack-Cherish/python-spider,19240,2017-05-05,5347,51,5347,0.0,0.0,0.0,0.0,0
rsms/inter,18926,2017-08-22,8869,70,8869,0.1017,0.0585,0.0,0.0585,0
openai/baselines,16519,2017-05-24,12345,130,12345,0.0,0.0,0.0,0.0,0
pyecharts/pyecharts,15566,2017-06-22,8787,73,8787,0.9786,0.1269,0.5894,0.0785,9
iterative/dvc,15031,2017-03-04,35066,268,35066,0.494,0.3944,0.1252,0.3168,181
ansible/awx,15012,2017-05-17,83409,688,83409,0.022,0.0136,0.0016,0.0126,3
caronc/apprise,14748,2017-11-25,52328,177,52328,0.1111,0.1412,0.0031,0.1378,37
horovod/horovod,14618,2017-08-09,21428,155,21428,0.0728,0.0391,0.0111,0.0361,38
s0md3v/XSStrike,14421,2017-06-26,1795,27,1795,0.0,0.0,0.0,0.0,0
jindongwang/transferlearning,14139,2017-04-30,30601,270,30601,0.112,0.0682,0.0,0.0619,0
geldata/gel,13913,2017-06-29,197210,473,197210,0.8433,0.7569,0.1842,0.7459,986
wangshub/wechat_jump_game,13857,2017-12-29,1890,21,1890,0.0,0.0,0.0,0.0,0
evilsocket/opensnitch,12309,2017-04-16,17885,76,17885,0.0,0.0,0.0,0.0,0
PaddlePaddle/PaddleSpeech,12307,2017-11-14,130932,938,130932,0.5054,0.1474,0.0248,0.1285,122
jacobgil/pytorch-grad-cam,12294,2017-05-31,2262,40,2262,0.2649,0.1118,0.0,0.0932,0
great-expectations/great_expectations,10876,2017-09-11,133858,866,133858,0.6859,0.6598,0.2348,0.5681,623
kkroening/ffmpeg-python,10811,2017-05-14,1592,10,1592,0.0,0.0,0.0,0.0,0
wandb/wandb,10457,2017-03-24,97595,706,97595,0.7644,0.7135,0.1962,0.7004,1035
simonw/datasette,10455,2017-10-23,13739,49,13739,0.0935,0.0536,0.0547,0.0398,15
fossasia/visdom,10179,2017-01-25,4002,16,4002,0.0,0.0,0.0,0.0,0
Jack-Cherish/Machine-Learning,10018,2017-03-25,4443,27,4443,0.0,0.0,0.0,0.0,0
Kludex/uvicorn,10004,2017-05-31,4765,40,4765,1.0,0.9646,0.3854,0.9646,33
google-deepmind/sonnet,9891,2017-04-03,15906,134,15906,0.3841,0.0681,0.0006,0.0603,22
OpenMined/PySyft,9792,2017-07-18,62116,498,62116,0.9666,0.9485,0.2543,0.9398,944
yzhao062/pyod,9550,2017-10-03,13342,60,13342,0.0079,0.0022,0.0,0.0022,0
espnet/espnet,9537,2017-12-13,269377,1852,269377,0.5481,0.2438,0.0096,0.2133,397
jadore801120/attention-is-all-you-need-pytorch,9472,2017-06-14,1282,13,1282,0.0,0.0,0.0,0.0,0
MorvanZhou/Reinforcement-learning-with-tensorflow,9336,2017-05-06,6617,56,6617,0.0,0.0,0.0,0.0,0
malwaredllc/byob,9304,2017-12-18,14076,67,14076,0.0,0.0,0.0,0.0,0
keras-team/autokeras,9279,2017-11-19,6544,91,6544,0.2198,0.0037,0.0,0.0037,1
eriklindernoren/Keras-GAN,9236,2017-07-11,3028,27,3028,0.0,0.0,0.0,0.0,0
Cadene/pretrained-models.pytorch,9112,2017-04-09,6984,29,6984,0.0,0.0,0.0,0.0,0
pyro-ppl/pyro,8888,2017-06-16,52831,324,52831,0.1485,0.1653,0.0163,0.1504,30
sensepost/objection,8573,2017-06-29,6571,73,6571,0.9008,0.7713,0.0369,0.7243,0
yandex/gixy,8530,2017-03-15,3476,44,3476,0.0,0.0,0.0,0.0,0
jofpin/trape,8479,2017-10-31,2681,18,2681,0.0,0.0,0.0,0.0,0
nl8590687/ASRT_SpeechRecognition,8272,2017-03-06,2652,26,2652,0.1341,0.2153,0.0,0.1806,0
google-deepmind/pysc2,8195,2017-07-25,12721,82,12721,0.0147,0.0037,0.001,0.0037,2
utkuozbulak/pytorch-cnn-visualizations,8140,2017-10-21,1224,17,1224,0.0,0.0,0.0,0.0,0
lmcinnes/umap,7981,2017-07-02,9038,12,9038,0.001,0.0,0.0,0.0,0
lanpa/tensorboardX,7968,2017-06-13,3434,32,3434,0.1984,0.0,0.0,0.0,0
brightmart/text_classification,7942,2017-05-30,13849,95,13849,0.0019,0.0,0.0,0.0,0
shenweichen/DeepCTR,7927,2017-10-07,7147,66,7147,0.0,0.0,0.0,0.0,0
jwyang/faster-rcnn.pytorch,7842,2017-08-03,5894,77,5894,0.0,0.0,0.0,0.0,0
stanfordnlp/stanza,7639,2017-09-26,52843,402,52843,0.0453,0.0291,0.0079,0.026,6
openatx/uiautomator2,7579,2017-09-17,7021,47,7021,0.4084,0.191,0.0092,0.1548,18
alteryx/featuretools,7551,2017-09-08,19786,293,19786,0.0874,0.0564,0.0135,0.0525,8
bottlesdevs/Bottles,7489,2017-10-14,18307,171,18307,0.4396,0.164,0.0534,0.1487,21
pythonstock/stock,7453,2017-07-17,2533,30,2533,0.0,0.0,0.0,0.0,0
1adrianb/face-alignment,7400,2017-09-15,1598,21,1598,0.0,0.0,0.0,0.0,0
axi0mX/ipwndfu,7251,2017-04-09,5874,29,5874,0.0,0.0,0.0,0.0,0
skywind3000/ECDICT,7045,2017-03-20,2840,4,2840,0.0,0.0,0.0,0.0,0
PyQt5/PyQt,7041,2017-03-30,27199,246,27199,0.0722,0.0482,0.0026,0.0409,23
schollz/howmanypeoplearearound,7015,2017-05-11,152910,7,152910,0.0,0.0,0.0,0.0,0
OpenNMT/OpenNMT-py,6959,2017-02-22,26235,130,26235,0.0345,0.0208,0.0054,0.0138,0
deeppavlov/DeepPavlov,6943,2017-11-17,20012,206,20012,0.6506,0.5471,0.0183,0.4397,79
PaddlePaddle/models,6939,2017-04-20,67832,405,67832,0.1128,0.0801,0.0004,0.0785,57
sammchardy/python-binance,6933,2017-08-14,20858,17,20858,0.149,0.0651,0.0271,0.0367,13
python-trio/trio,6918,2017-01-16,34186,145,34186,1.0,0.9993,0.202,0.9993,27
pypa/hatch,6880,2017-05-31,13733,170,13733,0.6757,0.694,0.1009,0.6907,157
NVIDIA/pix2pixHD,6859,2017-12-01,1895,27,1895,0.0,0.0,0.0,0.0,0
robinhood/faust,6823,2017-03-08,48574,340,48574,0.6123,0.5647,0.3562,0.5608,858
aws/aws-sam-cli,6645,2017-05-23,58194,515,58194,0.5568,0.5122,0.159,0.4915,222
Qiskit/qiskit,6605,2017-03-03,119238,698,119238,0.4743,0.3439,0.0186,0.3172,135
mitre/caldera,6506,2017-11-29,11403,121,11403,0.1548,0.0082,0.0075,0.0057,9
nteract/papermill,6298,2017-07-06,2685,19,2685,0.0,0.0,0.0,0.0,0
kuangliu/pytorch-cifar,6289,2017-01-21,1808,21,1808,0.0,0.0,0.0,0.0,0
guofei9987/scikit-opt,6165,2017-12-05,1646,23,1646,0.0,0.0,0.0,0.0,0
tkarras/progressive_growing_of_gans,6160,2017-10-27,2905,15,2905,0.0,0.0,0.0,0.0,0
ticarpi/jwt_tool,6156,2017-01-23,2051,1,2051,0.0,0.0,0.0,0.0,0
shadowsocksr-backup/shadowsocksr,6153,2017-07-27,5450,30,5450,0.0,0.0,0.0,0.0,0
Python3WebSpider/ProxyPool,6107,2017-07-09,1402,42,1402,0.1014,0.1471,0.0,0.0294,0
polakowo/vectorbt,5964,2017-11-14,45158,90,45158,0.8169,0.9371,0.0716,0.6389,129
nwojke/deep_sort,5948,2017-02-04,2032,18,2032,0.0,0.0,0.0,0.0,0
inventree/InvenTree,5897,2017-03-23,91847,916,91847,0.2242,0.1441,0.0201,0.1062,56
microsoft/MMdnn,5815,2017-08-16,22563,96,22563,0.0,0.0,0.0,0.0,0
oarriaga/face_classification,5695,2017-02-09,1497,20,1497,0.0,0.0,0.0,0.0,0
lark-parser/lark,5597,2017-02-04,6829,35,6829,0.3353,0.2771,0.187,0.2322,49
SpiderClub/haipproxy,5513,2017-09-16,2590,46,2590,0.0,0.0,0.0,0.0,0
aiogram/aiogram,5397,2017-11-18,44185,604,44185,0.9469,0.988,1.5557,0.7176,940
CryptoSignal/Crypto-Signal,5360,2017-09-16,1678,35,1678,0.0,0.0,0.0,0.0,0
charlesq34/pointnet,5250,2017-01-31,4119,22,4119,0.0,0.0,0.0,0.0,0
amdegroot/ssd.pytorch,5226,2017-02-08,1957,20,1957,0.0,0.0,0.0,0.0,0
chatopera/Synonyms,5095,2017-09-25,1004,7,1004,0.0,0.0,0.0,0.0,0
authlib/authlib,5078,2017-10-27,15807,203,15807,0.0276,0.0338,0.0019,0.0225,5
CSAILVision/semantic-segmentation-pytorch,5051,2017-10-07,3476,34,3476,0.0,0.0,0.0,0.0,0
apple/coremltools,4989,2017-06-30,138282,493,138282,0.268,0.196,0.0225,0.1649,231
